Account Number,Account Name,Customer Mobile,Transaction Date,Narration,Debit,Credit,Balance,Ref No
55188442258,Simon Tata,+919394731217,01/06/2026 06:03:15,RTGS/Arunima Dugal/100000117176,,15472.42,365112.17,100000117176
55188442258,Simon Tata,+919394731217,02/06/2026 20:50:10,UPI/ayushman474@utib/Ayushman Chander/100000117402,,26304.81,391416.98,100000117402
55188442258,Simon Tata,+919394731217,03/06/2026 12:10:09,NEFT/Tripti Yadav/100000116762,38246.22,,353170.76,100000116762
55188442258,Simon Tata,+919394731217,03/06/2026 22:31:08,NEFT/Lajita Mall/100000116038,,770.34,353941.1,100000116038
55188442258,Simon Tata,+919394731217,04/06/2026 21:37:24,UPI/rushil134@icic/Rushil Saini/100000118085,46180.16,,307760.94,100000118085
55188442258,Simon Tata,+919394731217,06/06/2026 10:36:09,NEFT/Ayushman Chander/100000117538,26217.93,,281543.01,100000117538
55188442258,Simon Tata,+919394731217,06/06/2026 14:49:43,NEFT/Aryan Maharaj/100000115971,21743.74,,259799.27,100000115971
55188442258,Simon Tata,+919394731217,06/06/2026 22:12:31,UPI/janaki408@utib/Janaki Handa/100000116229,43211.39,,216587.88,100000116229
55188442258,Simon Tata,+919394731217,08/06/2026 06:08:45,IMPS/Hemangini Lalla/100000117602,,32165.87,248753.75,100000117602
55188442258,Simon Tata,+919394731217,09/06/2026 13:29:46,NEFT/Kritika Brar/100000117664,24267.16,,224486.59,100000117664
55188442258,Simon Tata,+919394731217,09/06/2026 18:20:17,IMPS/Anamika Kanda/100000116427,,10091.79,234578.38,100000116427
55188442258,Simon Tata,+919394731217,10/06/2026 01:02:59,UPI/aryan285@hdfc/Aryan Maharaj/100000117992,,47929.55,282507.93,100000117992
55188442258,Simon Tata,+919394731217,10/06/2026 13:33:49,UPI/dominic147@utib/Dominic Kakar/100000117247,,17917.08,300425.01,100000117247
55188442258,Simon Tata,+919394731217,10/06/2026 15:04:18,UPI/saumya696@utib/Saumya Mall/100000118429,,42090.69,342515.7,100000118429
55188442258,Simon Tata,+919394731217,10/06/2026 18:42:02,NEFT/Ekbal Garg/100000116944,,27220.7,369736.4,100000116944
55188442258,Simon Tata,+919394731217,10/06/2026 20:09:14,NEFT/Kritika Brar/100000115713,,5281.73,375018.13,100000115713
55188442258,Simon Tata,+919394731217,12/06/2026 01:32:45,UPI/dominic147@utib/Dominic Kakar/100000117950,,39397.11,414415.24,100000117950
55188442258,Simon Tata,+919394731217,13/06/2026 00:47:28,IMPS/Rushil Saini/100000116696,,46554.75,460969.99,100000116696
55188442258,Simon Tata,+919394731217,13/06/2026 08:45:29,IMPS/Isha Kadakia/100000117290,43138.2,,417831.79,100000117290
55188442258,Simon Tata,+919394731217,13/06/2026 18:08:34,RTGS/Anamika Kanda/100000116588,,32032.33,449864.12,100000116588
55188442258,Simon Tata,+919394731217,14/06/2026 09:16:20,UPI/tripti506@hdfc/Tripti Yadav/100000116940,,31332.07,481196.19,100000116940
55188442258,Simon Tata,+919394731217,14/06/2026 12:49:31,IMPS/Nihal Shere/100000116895,,25018.95,506215.14,100000116895
55188442258,Simon Tata,+919394731217,15/06/2026 05:56:23,IMPS/Fariq Kaul/100000129582,,621257.9,1127473.04,100000129582
55188442258,Simon Tata,+919394731217,15/06/2026 06:46:11,NEFT/Aryan Maharaj/100000116245,,20311.01,1147784.05,100000116245
55188442258,Simon Tata,+919394731217,15/06/2026 13:52:23,RTGS/Fariq Kaul/100000130209,727720.67,,420063.38,100000130209
55188442258,Simon Tata,+919394731217,15/06/2026 23:06:05,RTGS/Viraj Tiwari/100000116218,,37287.2,457350.58,100000116218
55188442258,Simon Tata,+919394731217,16/06/2026 00:26:07,NEFT/Nihal Shere/100000115606,13480.09,,443870.49,100000115606
55188442258,Simon Tata,+919394731217,16/06/2026 01:56:42,IMPS/Aryan Maharaj/100000116196,,48764.04,492634.53,100000116196
55188442258,Simon Tata,+919394731217,16/06/2026 06:24:20,RTGS/Chakradev Kari/100000115738,,28662.18,521296.71,100000115738
55188442258,Simon Tata,+919394731217,16/06/2026 08:46:45,IMPS/Lajita Mall/100000117030,,18692.99,539989.7,100000117030
55188442258,Simon Tata,+919394731217,16/06/2026 18:28:01,NEFT/Daksh Karnik/100000118166,16102.75,,523886.95,100000118166
55188442258,Simon Tata,+919394731217,16/06/2026 19:35:31,RTGS/Nihal Shere/100000115679,14066.36,,509820.59,100000115679
55188442258,Simon Tata,+919394731217,16/06/2026 21:53:14,UPI/ayushman474@utib/Ayushman Chander/100000116632,37699.84,,472120.75,100000116632
55188442258,Simon Tata,+919394731217,16/06/2026 23:22:30,RTGS/Nathaniel Sami/100000116821,20600.21,,451520.54,100000116821
55188442258,Simon Tata,+919394731217,17/06/2026 02:24:55,IMPS/Ekbal Garg/100000117799,,40584.19,492104.73,100000117799
55188442258,Simon Tata,+919394731217,17/06/2026 07:22:57,NEFT/Tripti Yadav/100000115778,49033.3,,443071.43,100000115778
55188442258,Simon Tata,+919394731217,17/06/2026 11:00:36,UPI/lajita88@icic/Lajita Chatterjee/100000117858,31245.55,,411825.88,100000117858
55188442258,Simon Tata,+919394731217,17/06/2026 20:58:02,RTGS/Saumya Mall/100000116365,39057.47,,372768.41,100000116365
55188442258,Simon Tata,+919394731217,17/06/2026 22:10:36,UPI/priya412@utib/Priya Rastogi/100000116115,5548.6,,367219.81,100000116115
55188442258,Simon Tata,+919394731217,19/06/2026 06:49:11,IMPS/Janya Gaba/100000118531,,43345.25,410565.06,100000118531
55188442258,Simon Tata,+919394731217,21/06/2026 15:03:25,IMPS/Nathaniel Sami/100000117655,23915.51,,386649.55,100000117655
55188442258,Simon Tata,+919394731217,21/06/2026 17:39:22,NEFT/Nihal Shere/100000118471,33128.27,,353521.28,100000118471
55188442258,Simon Tata,+919394731217,21/06/2026 23:32:39,IMPS/Kritika Brar/100000118171,26532.39,,326988.89,100000118171
55188442258,Simon Tata,+919394731217,21/06/2026 23:51:26,RTGS/Janya Gaba/100000118491,,18722.5,345711.39,100000118491
55188442258,Simon Tata,+919394731217,22/06/2026 02:09:13,RTGS/Ayushman Chander/100000118332,,16690.71,362402.1,100000118332
55188442258,Simon Tata,+919394731217,23/06/2026 06:55:32,RTGS/Nathaniel Sami/100000118237,,32387.08,394789.18,100000118237
55188442258,Simon Tata,+919394731217,23/06/2026 08:43:54,NEFT/Nihal Shere/100000115877,,14018.52,408807.7,100000115877
55188442258,Simon Tata,+919394731217,24/06/2026 21:55:26,UPI/tripti506@hdfc/Tripti Yadav/100000117358,,3339.32,412147.02,100000117358
55188442258,Simon Tata,+919394731217,26/06/2026 15:57:07,RTGS/Nathaniel Sami/100000116908,,23200.64,435347.66,100000116908
55188442258,Simon Tata,+919394731217,27/06/2026 03:27:39,IMPS/Arunima Dugal/100000118383,42410.43,,392937.23,100000118383
55188442258,Simon Tata,+919394731217,27/06/2026 08:01:13,RTGS/Ayushman Chander/100000117087,,10612.13,403549.36,100000117087
55188442258,Simon Tata,+919394731217,27/06/2026 08:33:42,RTGS/Daksh Karnik/100000115873,,17177.99,420727.35,100000115873
55188442258,Simon Tata,+919394731217,27/06/2026 09:55:39,NEFT/Arunima Dugal/100000118253,34497.12,,386230.23,100000118253
55188442258,Simon Tata,+919394731217,27/06/2026 10:53:46,RTGS/Udant Dewan/100000118400,43470.47,,342759.76,100000118400
55188442258,Simon Tata,+919394731217,28/06/2026 03:41:48,IMPS/Arunima Dugal/100000116276,,21589.02,364348.78,100000116276
55188442258,Simon Tata,+919394731217,28/06/2026 15:23:35,UPI/daksh631@icic/Daksh Karnik/100000117450,17493.49,,346855.29,100000117450
55188442258,Simon Tata,+919394731217,28/06/2026 17:56:33,UPI/nathaniel251@sbin/Nathaniel Sami/100000116165,,3466.93,350322.22,100000116165
55188442258,Simon Tata,+919394731217,28/06/2026 19:11:20,IMPS/Diya Rattan/100000117006,,26965.93,377288.15,100000117006
55188442258,Simon Tata,+919394731217,29/06/2026 17:04:24,RTGS/Kritika Brar/100000116521,,13006.26,390294.41,100000116521
55188442258,Simon Tata,+919394731217,29/06/2026 22:16:56,RTGS/Gayathri Chaudry/100000118293,3876.52,,386417.89,100000118293
55188442258,Simon Tata,+919394731217,30/06/2026 15:25:24,UPI/arunima902@sbin/Arunima Dugal/100000117737,,33854.25,420272.14,100000117737
55188442258,Simon Tata,+919394731217,30/06/2026 18:34:32,UPI/viraj430@sbin/Viraj Tiwari/100000118239,31096.37,,389175.77,100000118239
