Account Number,Account Name,Customer Mobile,Transaction Date,Narration,Debit,Credit,Balance,Ref No
00330923271937,Gayathri Chaudry,+917046537556,01/06/2026 20:10:32,IMPS/Janya Gaba/100000038803,3327.93,,60256.47,100000038803
00330923271937,Gayathri Chaudry,+917046537556,01/06/2026 20:23:46,NEFT/Lajita Mall/100000039722,,15619.73,75876.2,100000039722
00330923271937,Gayathri Chaudry,+917046537556,02/06/2026 06:51:16,RTGS/Simon Tata/100000039088,42090.46,,33785.74,100000039088
00330923271937,Gayathri Chaudry,+917046537556,03/06/2026 12:22:04,IMPS/Fariq Kaul/100000039329,,47706.91,81492.65,100000039329
00330923271937,Gayathri Chaudry,+917046537556,03/06/2026 17:41:14,IMPS/Lajita Chatterjee/100000039796,45001.19,,36491.46,100000039796
00330923271937,Gayathri Chaudry,+917046537556,04/06/2026 03:08:18,RTGS/Arunima Dugal/100000040081,36731.59,,-240.13,100000040081
00330923271937,Gayathri Chaudry,+917046537556,04/06/2026 06:07:27,IMPS/Tara Dhar/100000039907,,46990.18,46750.05,100000039907
00330923271937,Gayathri Chaudry,+917046537556,04/06/2026 17:49:37,UPI/ekbal745@utib/Ekbal Garg/100000037538,,7830.54,54580.59,100000037538
00330923271937,Gayathri Chaudry,+917046537556,05/06/2026 03:12:18,RTGS/Hemangini Lalla/100000039030,,28117.67,82698.26,100000039030
00330923271937,Gayathri Chaudry,+917046537556,05/06/2026 10:55:26,NEFT/Hemangini Lalla/100000039050,,47753.6,130451.86,100000039050
00330923271937,Gayathri Chaudry,+917046537556,06/06/2026 01:13:51,RTGS/Ekbal Garg/100000040011,4256.76,,126195.1,100000040011
00330923271937,Gayathri Chaudry,+917046537556,06/06/2026 07:52:47,IMPS/Nathaniel Sami/100000039646,12208.17,,113986.93,100000039646
00330923271937,Gayathri Chaudry,+917046537556,06/06/2026 14:08:34,UPI/diya301@icic/Diya Rattan/100000039941,,30483.61,144470.54,100000039941
00330923271937,Gayathri Chaudry,+917046537556,07/06/2026 06:44:16,UPI/lajita88@icic/Lajita Chatterjee/100000038119,,10510.89,154981.43,100000038119
00330923271937,Gayathri Chaudry,+917046537556,09/06/2026 16:42:30,RTGS/Lajita Mall/100000130993,635214.15,,-480232.72,100000130993
00330923271937,Gayathri Chaudry,+917046537556,09/06/2026 16:52:53,UPI/priya954@punb/Priya Rastogi/100000037977,45574.42,,-525807.14,100000037977
00330923271937,Gayathri Chaudry,+917046537556,10/06/2026 01:26:30,NEFT/Gagan Sami/100000039944,,23592.69,-502214.45,100000039944
00330923271937,Gayathri Chaudry,+917046537556,10/06/2026 02:51:01,RTGS/Nathaniel Sami/100000037821,,39667.32,-462547.13,100000037821
00330923271937,Gayathri Chaudry,+917046537556,10/06/2026 08:40:39,RTGS/Janaki Handa/100000037418,42423.24,,-504970.37,100000037418
00330923271937,Gayathri Chaudry,+917046537556,10/06/2026 12:00:07,UPI/ayushman474@utib/Ayushman Chander/100000037269,29619.08,,-534589.45,100000037269
00330923271937,Gayathri Chaudry,+917046537556,11/06/2026 17:46:53,UPI/lajita88@icic/Lajita Chatterjee/100000038211,32469.59,,-567059.04,100000038211
00330923271937,Gayathri Chaudry,+917046537556,11/06/2026 18:57:43,IMPS/Isha Kadakia/100000040273,,33870.56,-533188.48,100000040273
00330923271937,Gayathri Chaudry,+917046537556,12/06/2026 04:22:49,UPI/anamika771@punb/Anamika Kanda/100000037779,36850.17,,-570038.65,100000037779
00330923271937,Gayathri Chaudry,+917046537556,14/06/2026 02:17:42,IMPS/Udant Dewan/100000040120,,4773.96,-565264.69,100000040120
00330923271937,Gayathri Chaudry,+917046537556,14/06/2026 13:52:59,IMPS/Simon Tata/100000037810,,28483.9,-536780.79,100000037810
00330923271937,Gayathri Chaudry,+917046537556,14/06/2026 19:06:19,UPI/kritika468@hdfc/Kritika Brar/100000038650,,17019.68,-519761.11,100000038650
00330923271937,Gayathri Chaudry,+917046537556,15/06/2026 21:39:00,RTGS/Aryan Maharaj/100000039596,27023.14,,-546784.25,100000039596
00330923271937,Gayathri Chaudry,+917046537556,16/06/2026 16:58:59,NEFT/Rushil Saini/100000037690,10055.61,,-556839.86,100000037690
00330923271937,Gayathri Chaudry,+917046537556,16/06/2026 18:25:05,NEFT/Gagan Sami/100000040201,,20548.96,-536290.9,100000040201
00330923271937,Gayathri Chaudry,+917046537556,17/06/2026 02:13:10,UPI/diya596@punb/Diya Rattan/100000037696,19001.15,,-555292.05,100000037696
00330923271937,Gayathri Chaudry,+917046537556,17/06/2026 17:14:15,NEFT/Kritika Brar/100000039673,,16004.6,-539287.45,100000039673
00330923271937,Gayathri Chaudry,+917046537556,18/06/2026 12:30:29,UPI/fariq240@utib/Fariq Kaul/100000039632,49995.03,,-589282.48,100000039632
00330923271937,Gayathri Chaudry,+917046537556,19/06/2026 06:31:21,IMPS/Nihal Shere/100000039410,,18494.58,-570787.9,100000039410
00330923271937,Gayathri Chaudry,+917046537556,19/06/2026 20:42:59,IMPS/Viraj Tiwari/100000039282,,11479.72,-559308.18,100000039282
00330923271937,Gayathri Chaudry,+917046537556,19/06/2026 22:04:38,RTGS/Arunima Dugal/100000038742,,31953.64,-527354.54,100000038742
00330923271937,Gayathri Chaudry,+917046537556,20/06/2026 02:52:30,IMPS/Lajita Mall/100000038148,,45625.25,-481729.29,100000038148
00330923271937,Gayathri Chaudry,+917046537556,20/06/2026 06:02:04,RTGS/Tara Dhar/100000039364,,35239.48,-446489.81,100000039364
00330923271937,Gayathri Chaudry,+917046537556,20/06/2026 20:52:55,RTGS/Tripti Yadav/100000037600,19401.03,,-465890.84,100000037600
00330923271937,Gayathri Chaudry,+917046537556,20/06/2026 21:33:42,NEFT/Kritika Brar/100000037442,,36137.67,-429753.17,100000037442
