Account Number,Account Name,Customer Mobile,Transaction Date,Narration,Debit,Credit,Balance,Ref No
19283276483503,Udant Dewan,+917164752553,03/06/2026 13:58:35,IMPS/Rushil Saini/100000004773,,49276.95,284296.33,100000004773
19283276483503,Udant Dewan,+917164752553,03/06/2026 23:18:36,UPI/lajita88@icic/Lajita Chatterjee/100000006073,,30243.69,314540.02,100000006073
19283276483503,Udant Dewan,+917164752553,05/06/2026 13:40:06,NEFT/Ayushman Chander/100000004502,24705.98,,289834.04,100000004502
19283276483503,Udant Dewan,+917164752553,05/06/2026 21:58:12,IMPS/Anamika Kanda/100000005581,,28792.08,318626.12,100000005581
19283276483503,Udant Dewan,+917164752553,07/06/2026 01:02:18,RTGS/Isha Kadakia/100000006224,,45506.65,364132.77,100000006224
19283276483503,Udant Dewan,+917164752553,07/06/2026 01:07:09,NEFT/Fariq Kaul/100000004520,40032.27,,324100.5,100000004520
19283276483503,Udant Dewan,+917164752553,07/06/2026 20:46:19,IMPS/Tara Dhar/100000005992,22968.51,,301131.99,100000005992
19283276483503,Udant Dewan,+917164752553,08/06/2026 16:21:44,NEFT/Simon Tata/100000003624,40977.58,,260154.41,100000003624
19283276483503,Udant Dewan,+917164752553,08/06/2026 16:28:54,IMPS/Saumya Mall/100000006632,30961.42,,229192.99,100000006632
19283276483503,Udant Dewan,+917164752553,08/06/2026 20:26:58,IMPS/Lajita Chatterjee/100000004123,,40341.54,269534.53,100000004123
19283276483503,Udant Dewan,+917164752553,09/06/2026 02:56:21,IMPS/Anamika Kanda/100000003666,38972.8,,230561.73,100000003666
19283276483503,Udant Dewan,+917164752553,09/06/2026 04:28:59,IMPS/Saumya Mall/100000005391,,46514.53,277076.26,100000005391
19283276483503,Udant Dewan,+917164752553,09/06/2026 20:24:24,UPI/aryan285@hdfc/Aryan Maharaj/100000006577,41038.95,,236037.31,100000006577
19283276483503,Udant Dewan,+917164752553,09/06/2026 22:48:42,IMPS/Rushil Saini/100000006075,20585.89,,215451.42,100000006075
19283276483503,Udant Dewan,+917164752553,11/06/2026 07:56:00,UPI/daksh631@icic/Daksh Karnik/100000003584,,29893.39,245344.81,100000003584
19283276483503,Udant Dewan,+917164752553,11/06/2026 09:38:22,NEFT/Isha Kadakia/100000004697,35385.78,,209959.03,100000004697
19283276483503,Udant Dewan,+917164752553,12/06/2026 18:02:25,RTGS/Aryan Maharaj/100000005694,33087.14,,176871.89,100000005694
19283276483503,Udant Dewan,+917164752553,14/06/2026 00:27:53,RTGS/Gagan Sami/100000005392,10907.08,,165964.81,100000005392
19283276483503,Udant Dewan,+917164752553,14/06/2026 04:20:19,RTGS/Lajita Chatterjee/100000005779,27175.3,,138789.51,100000005779
19283276483503,Udant Dewan,+917164752553,14/06/2026 10:35:16,RTGS/Lajita Chatterjee/100000003449,,13896.29,152685.8,100000003449
19283276483503,Udant Dewan,+917164752553,14/06/2026 20:45:16,UPI/nathaniel251@sbin/Nathaniel Sami/100000005082,,26846.74,179532.54,100000005082
19283276483503,Udant Dewan,+917164752553,15/06/2026 02:22:29,UPI/kritika565@utib/Kritika Brar/100000004927,,3514.98,183047.52,100000004927
19283276483503,Udant Dewan,+917164752553,15/06/2026 08:02:13,IMPS/Rushil Saini/100000005014,,6976.88,190024.4,100000005014
19283276483503,Udant Dewan,+917164752553,15/06/2026 15:15:54,RTGS/Janya Gaba/100000006048,19688.06,,170336.34,100000006048
19283276483503,Udant Dewan,+917164752553,15/06/2026 15:52:30,NEFT/Liam Koshy/100000005677,26245.51,,144090.83,100000005677
19283276483503,Udant Dewan,+917164752553,15/06/2026 16:52:20,UPI/priya412@utib/Priya Rastogi/100000004848,38182.69,,105908.14,100000004848
19283276483503,Udant Dewan,+917164752553,16/06/2026 15:08:56,IMPS/Gayathri Chaudry/100000006336,,2732.72,108640.86,100000006336
