Account Number,Account Name,Customer Mobile,Transaction Date,Narration,Debit,Credit,Balance,Ref No
222927065379,Anamika Kanda,+917141888059,01/06/2026 15:40:25,RTGS/Aryan Maharaj/100000101496,47711.86,,336209.35,100000101496
222927065379,Anamika Kanda,+917141888059,01/06/2026 21:09:56,UPI/aryan285@hdfc/Aryan Maharaj/100000102489,1586.48,,334622.87,100000102489
222927065379,Anamika Kanda,+917141888059,03/06/2026 03:35:41,NEFT/Dominic Kakar/100000102596,44417.61,,290205.26,100000102596
222927065379,Anamika Kanda,+917141888059,03/06/2026 11:49:08,RTGS/Simon Tata/100000102322,,16836.47,307041.73,100000102322
222927065379,Anamika Kanda,+917141888059,03/06/2026 20:11:08,UPI/janaki408@utib/Janaki Handa/100000104217,,26819.47,333861.2,100000104217
222927065379,Anamika Kanda,+917141888059,03/06/2026 21:45:34,RTGS/Saumya Mall/100000102243,,24196.62,358057.82,100000102243
222927065379,Anamika Kanda,+917141888059,04/06/2026 03:47:58,RTGS/Gagan Sami/100000103350,20393.77,,337664.05,100000103350
222927065379,Anamika Kanda,+917141888059,04/06/2026 09:25:29,NEFT/Dominic Kakar/100000103417,9863.19,,327800.86,100000103417
222927065379,Anamika Kanda,+917141888059,05/06/2026 02:51:16,UPI/rushil134@icic/Rushil Saini/100000101389,6805.96,,320994.9,100000101389
222927065379,Anamika Kanda,+917141888059,05/06/2026 20:49:24,RTGS/Aryan Maharaj/100000101794,,8262.02,329256.92,100000101794
222927065379,Anamika Kanda,+917141888059,05/06/2026 23:28:22,IMPS/Gayathri Chaudry/100000103300,,26121.74,355378.66,100000103300
222927065379,Anamika Kanda,+917141888059,07/06/2026 08:40:20,RTGS/Nathaniel Sami/100000101512,,28361.08,383739.74,100000101512
222927065379,Anamika Kanda,+917141888059,07/06/2026 09:16:52,NEFT/Chakradev Kari/100000102708,20069.74,,363670.0,100000102708
222927065379,Anamika Kanda,+917141888059,07/06/2026 21:17:47,NEFT/Lajita Chatterjee/100000103655,22074.49,,341595.51,100000103655
222927065379,Anamika Kanda,+917141888059,08/06/2026 04:35:27,NEFT/Fariq Kaul/100000102075,,15057.02,356652.53,100000102075
222927065379,Anamika Kanda,+917141888059,08/06/2026 19:38:21,RTGS/Udant Dewan/100000101613,,44154.2,400806.73,100000101613
222927065379,Anamika Kanda,+917141888059,09/06/2026 01:45:36,RTGS/Arunima Dugal/100000101302,,32547.36,433354.09,100000101302
222927065379,Anamika Kanda,+917141888059,09/06/2026 07:04:51,RTGS/Gagan Sami/100000103293,,8625.17,441979.26,100000103293
222927065379,Anamika Kanda,+917141888059,09/06/2026 09:15:05,NEFT/Janaki Handa/100000131320,947175.66,,-505196.4,100000131320
222927065379,Anamika Kanda,+917141888059,09/06/2026 17:37:37,RTGS/Fariq Kaul/100000102927,47610.53,,-552806.93,100000102927
