Account Number,Account Name,Customer Mobile,Transaction Date,Narration,Debit,Credit,Balance,Ref No
71094777520471,Hemangini Lalla,+918989413435,02/06/2026 03:34:09,IMPS/Fariq Kaul/100000046996,17839.54,,160034.72,100000046996
71094777520471,Hemangini Lalla,+918989413435,02/06/2026 07:02:50,NEFT/Viraj Tiwari/100000047622,46227.68,,113807.04,100000047622
71094777520471,Hemangini Lalla,+918989413435,02/06/2026 15:30:03,RTGS/Gayathri Chaudry/100000048398,,31514.89,145321.93,100000048398
71094777520471,Hemangini Lalla,+918989413435,03/06/2026 16:27:35,UPI/priya412@utib/Priya Rastogi/100000047675,49673.1,,95648.83,100000047675
71094777520471,Hemangini Lalla,+918989413435,03/06/2026 20:49:14,RTGS/Lajita Mall/100000048689,,22134.01,117782.84,100000048689
71094777520471,Hemangini Lalla,+918989413435,04/06/2026 03:50:46,IMPS/Janaki Handa/100000048301,,35230.43,153013.27,100000048301
71094777520471,Hemangini Lalla,+918989413435,04/06/2026 11:15:21,IMPS/Ayushman Chander/100000046535,18514.86,,134498.41,100000046535
71094777520471,Hemangini Lalla,+918989413435,04/06/2026 19:04:34,IMPS/Viraj Tiwari/100000048399,44191.7,,90306.71,100000048399
71094777520471,Hemangini Lalla,+918989413435,05/06/2026 17:05:30,IMPS/Fariq Kaul/100000048881,,43080.22,133386.93,100000048881
71094777520471,Hemangini Lalla,+918989413435,05/06/2026 19:59:08,NEFT/Saumya Mall/100000046339,,32020.56,165407.49,100000046339
71094777520471,Hemangini Lalla,+918989413435,06/06/2026 12:19:34,IMPS/Daksh Karnik/100000048596,12770.5,,152636.99,100000048596
71094777520471,Hemangini Lalla,+918989413435,07/06/2026 11:25:10,IMPS/Aryan Maharaj/100000046551,,42155.97,194792.96,100000046551
71094777520471,Hemangini Lalla,+918989413435,07/06/2026 12:16:15,UPI/aryan285@hdfc/Aryan Maharaj/100000047340,,25804.71,220597.67,100000047340
71094777520471,Hemangini Lalla,+918989413435,07/06/2026 15:07:35,UPI/rushil134@icic/Rushil Saini/100000048722,13968.39,,206629.28,100000048722
71094777520471,Hemangini Lalla,+918989413435,07/06/2026 23:07:03,UPI/gayathri965@icic/Gayathri Chaudry/100000047568,23875.67,,182753.61,100000047568
71094777520471,Hemangini Lalla,+918989413435,08/06/2026 06:02:21,UPI/gagan952@sbin/Gagan Sami/100000046500,25023.51,,157730.1,100000046500
71094777520471,Hemangini Lalla,+918989413435,08/06/2026 14:30:37,UPI/gagan60@punb/Gagan Sami/100000047897,,26870.9,184601.0,100000047897
71094777520471,Hemangini Lalla,+918989413435,09/06/2026 09:55:05,NEFT/Diya Rattan/100000046299,18963.73,,165637.27,100000046299
71094777520471,Hemangini Lalla,+918989413435,11/06/2026 06:12:10,NEFT/Tripti Yadav/100000048002,6323.18,,159314.09,100000048002
71094777520471,Hemangini Lalla,+918989413435,11/06/2026 09:22:44,IMPS/Tripti Yadav/100000048323,15467.07,,143847.02,100000048323
71094777520471,Hemangini Lalla,+918989413435,12/06/2026 11:24:00,RTGS/Ekbal Garg/100000047475,49678.64,,94168.38,100000047475
71094777520471,Hemangini Lalla,+918989413435,12/06/2026 23:36:41,IMPS/Tripti Yadav/100000046902,,18811.41,112979.79,100000046902
