Calling Party Number,Called Party Number,Call Date,Duration (sec),Call Type,IMEI,IMSI,Cell ID,Tower Location
+916433218196,+918009788208,2026-06-20 18:26:49,525,SMS-O,026542351161559,404078161849593,404-20-1122-3344,"Andheri-E, Mumbai"
+916433218196,+918396218518,2026-06-01 09:46:13,251,MOC,026542351161559,404078161849593,404-10-3344-5566,"Connaught Place, Delhi"
+916433218196,+918396218518,2026-06-06 16:05:15,469,MOC,026542351161559,404078161849593,404-20-1122-3344,"Andheri-E, Mumbai"
+916433218196,+918634216073,2026-06-29 06:51:33,248,MOC,026542351161559,404078161849593,404-45-2233-4455,"Koramangala, Bengaluru"
+916433218196,+919662702895,2026-06-07 00:28:39,111,MOC,026542351161559,404078161849593,404-40-5566-7788,"T Nagar, Chennai"
+916433218196,+919662702895,2026-06-25 18:03:51,724,MTC,026542351161559,404078161849593,404-10-3344-5566,"Connaught Place, Delhi"
+916433218196,+918396218518,2026-06-05 16:32:55,652,SMS-O,026542351161559,404078161849593,404-45-2233-4455,"Koramangala, Bengaluru"
+916433218196,+918511544796,2026-06-17 09:03:24,892,MOC,026542351161559,404078161849593,404-45-2233-4455,"Koramangala, Bengaluru"
+916433218196,+918345581223,2026-06-25 03:45:06,498,MTC,026542351161559,404078161849593,404-10-3344-5566,"Connaught Place, Delhi"
+916433218196,+919506068536,2026-06-16 03:23:50,588,MOC,026542351161559,404078161849593,404-45-2233-4455,"Koramangala, Bengaluru"
+917164752553,+917408240084,2026-06-03 03:42:59,74,SMS-O,884969653287101,402269166978480,404-20-1122-3344,"Andheri-E, Mumbai"
+917164752553,+918511544796,2026-06-04 19:02:51,497,SMS-O,884969653287101,402269166978480,404-40-5566-7788,"T Nagar, Chennai"
+917164752553,+916841241182,2026-06-13 12:40:27,680,MOC,884969653287101,402269166978480,404-40-5566-7788,"T Nagar, Chennai"
+917164752553,+917141888059,2026-06-11 20:46:26,172,MOC,884969653287101,402269166978480,404-20-1122-3344,"Andheri-E, Mumbai"
+917164752553,+919434873471,2026-06-06 03:00:13,194,MOC,884969653287101,402269166978480,404-45-2233-4455,"Koramangala, Bengaluru"
+917164752553,+916606071596,2026-06-13 20:09:54,401,MOC,884969653287101,402269166978480,404-31-4455-6677,"Salt Lake, Kolkata"
+917164752553,+916606071596,2026-06-21 11:02:13,668,MTC,884969653287101,402269166978480,404-10-3344-5566,"Connaught Place, Delhi"
+919270482814,+918511544796,2026-06-17 16:50:38,631,MOC,834657871331509,408393010310518,404-45-2233-4455,"Koramangala, Bengaluru"
+919270482814,+919808760385,2026-06-04 00:29:15,75,MTC,834657871331509,408393010310518,404-40-5566-7788,"T Nagar, Chennai"
+919270482814,+919506068536,2026-06-19 02:03:16,420,MOC,834657871331509,408393010310518,404-10-3344-5566,"Connaught Place, Delhi"
+919270482814,+919394731217,2026-06-29 19:56:53,447,MTC,834657871331509,408393010310518,404-40-5566-7788,"T Nagar, Chennai"
+919270482814,+919662702895,2026-06-15 12:59:49,831,SMS-O,834657871331509,408393010310518,404-40-5566-7788,"T Nagar, Chennai"
+919270482814,+919258815371,2026-06-16 00:17:00,588,MOC,834657871331509,408393010310518,404-10-3344-5566,"Connaught Place, Delhi"
+919270482814,+919434873471,2026-06-30 11:54:51,835,MOC,834657871331509,408393010310518,404-40-5566-7788,"T Nagar, Chennai"
+919270482814,+918511544796,2026-06-22 06:58:57,461,MOC,834657871331509,408393010310518,404-45-2233-4455,"Koramangala, Bengaluru"
+919270482814,+919980793597,2026-06-28 22:14:48,215,MOC,834657871331509,408393010310518,404-20-1122-3344,"Andheri-E, Mumbai"
+919270482814,+916969379237,2026-06-26 11:17:59,54,MTC,834657871331509,408393010310518,404-31-4455-6677,"Salt Lake, Kolkata"
+919270482814,+916433218196,2026-06-01 10:00:45,870,MTC,834657871331509,408393010310518,404-31-4455-6677,"Salt Lake, Kolkata"
+919270482814,+917141888059,2026-06-17 20:37:43,557,MOC,834657871331509,408393010310518,404-10-3344-5566,"Connaught Place, Delhi"
+919376311656,+919394731217,2026-06-28 08:24:06,375,MOC,317810801326773,406026064746872,404-20-1122-3344,"Andheri-E, Mumbai"
+919376311656,+918396218518,2026-06-04 14:42:21,813,SMS-O,317810801326773,406026064746872,404-10-3344-5566,"Connaught Place, Delhi"
+919376311656,+916969379237,2026-06-27 23:50:36,808,MOC,317810801326773,406026064746872,404-40-5566-7788,"T Nagar, Chennai"
+919376311656,+918680715451,2026-06-03 03:05:11,163,SMS-O,317810801326773,406026064746872,404-31-4455-6677,"Salt Lake, Kolkata"
+919376311656,+917474517123,2026-06-05 23:33:38,306,MOC,317810801326773,406026064746872,404-20-1122-3344,"Andheri-E, Mumbai"
+919376311656,+919662702895,2026-06-10 04:58:00,224,MOC,317810801326773,406026064746872,404-31-4455-6677,"Salt Lake, Kolkata"
+919376311656,+919098358416,2026-06-23 16:58:41,670,SMS-O,317810801326773,406026064746872,404-40-5566-7788,"T Nagar, Chennai"
+919376311656,+917046537556,2026-06-28 20:50:35,553,MTC,317810801326773,406026064746872,404-40-5566-7788,"T Nagar, Chennai"
+919376311656,+918009788208,2026-06-28 20:13:05,378,MTC,317810801326773,406026064746872,404-40-5566-7788,"T Nagar, Chennai"
+919376311656,+919980793597,2026-06-18 14:47:53,709,SMS-O,317810801326773,406026064746872,404-31-4455-6677,"Salt Lake, Kolkata"
+919376311656,+919662702895,2026-06-13 13:10:08,564,MTC,317810801326773,406026064746872,404-45-2233-4455,"Koramangala, Bengaluru"
+919376311656,+918009788208,2026-06-23 23:36:10,241,MTC,317810801326773,406026064746872,404-45-2233-4455,"Koramangala, Bengaluru"
+918009788208,+919394731217,2026-06-16 11:10:25,559,MOC,998543534624751,400799118384251,404-40-5566-7788,"T Nagar, Chennai"
+918009788208,+918345581223,2026-06-12 15:32:18,491,MTC,998543534624751,400799118384251,404-45-2233-4455,"Koramangala, Bengaluru"
+918009788208,+916054119986,2026-06-14 04:00:45,196,MTC,998543534624751,400799118384251,404-45-2233-4455,"Koramangala, Bengaluru"
+918009788208,+919258815371,2026-06-17 15:20:33,33,MOC,998543534624751,400799118384251,404-31-4455-6677,"Salt Lake, Kolkata"
+918009788208,+918634216073,2026-06-10 19:42:52,536,MOC,998543534624751,400799118384251,404-10-3344-5566,"Connaught Place, Delhi"
+918009788208,+916969379237,2026-06-05 00:54:38,38,MTC,998543534624751,400799118384251,404-40-5566-7788,"T Nagar, Chennai"
+918009788208,+918634216073,2026-06-12 03:00:56,660,MOC,998543534624751,400799118384251,404-10-3344-5566,"Connaught Place, Delhi"
+918009788208,+917474517123,2026-06-17 03:50:20,172,MOC,998543534624751,400799118384251,404-31-4455-6677,"Salt Lake, Kolkata"
+918009788208,+916969379237,2026-06-13 23:31:06,81,MOC,998543534624751,400799118384251,404-20-1122-3344,"Andheri-E, Mumbai"
+918009788208,+918345581223,2026-06-04 21:37:21,143,MTC,998543534624751,400799118384251,404-10-3344-5566,"Connaught Place, Delhi"
+918009788208,+919434873471,2026-06-11 13:49:34,751,MOC,998543534624751,400799118384251,404-31-4455-6677,"Salt Lake, Kolkata"
+918009788208,+919258815371,2026-06-13 06:48:33,714,SMS-O,998543534624751,400799118384251,404-31-4455-6677,"Salt Lake, Kolkata"
+918009788208,+919394731217,2026-06-11 06:09:43,96,MOC,998543534624751,400799118384251,404-20-1122-3344,"Andheri-E, Mumbai"
+918009788208,+917474517123,2026-06-16 23:27:03,619,MOC,998543534624751,400799118384251,404-31-4455-6677,"Salt Lake, Kolkata"
+918009788208,+919270482814,2026-06-01 11:21:07,889,MOC,998543534624751,400799118384251,404-45-2233-4455,"Koramangala, Bengaluru"
+918009788208,+916244550229,2026-06-07 07:07:32,59,MOC,998543534624751,400799118384251,404-31-4455-6677,"Salt Lake, Kolkata"
+918009788208,+918511544796,2026-06-28 19:40:57,647,MTC,998543534624751,400799118384251,404-31-4455-6677,"Salt Lake, Kolkata"
+918009788208,+919394731217,2026-06-19 01:20:37,102,MOC,998543534624751,400799118384251,404-10-3344-5566,"Connaught Place, Delhi"
+916841241182,+916244550229,2026-06-25 01:43:08,404,MOC,427868011280598,402620450533158,404-31-4455-6677,"Salt Lake, Kolkata"
+916841241182,+918936183242,2026-06-14 14:59:56,146,SMS-O,427868011280598,402620450533158,404-45-2233-4455,"Koramangala, Bengaluru"
+916841241182,+917141888059,2026-06-16 02:54:28,711,MOC,427868011280598,402620450533158,404-10-3344-5566,"Connaught Place, Delhi"
+916841241182,+917408240084,2026-06-05 05:23:16,750,SMS-O,427868011280598,402620450533158,404-31-4455-6677,"Salt Lake, Kolkata"
+916841241182,+918680715451,2026-06-18 23:30:45,107,MOC,427868011280598,402620450533158,404-40-5566-7788,"T Nagar, Chennai"
+916841241182,+917164752553,2026-06-23 10:40:16,856,MOC,427868011280598,402620450533158,404-40-5566-7788,"T Nagar, Chennai"
+916841241182,+918936183242,2026-06-02 04:25:40,86,MOC,427868011280598,402620450533158,404-31-4455-6677,"Salt Lake, Kolkata"
+918634216073,+916606071596,2026-06-05 14:36:41,693,MTC,850142940196556,409816934060883,404-20-1122-3344,"Andheri-E, Mumbai"
+918634216073,+919098358416,2026-06-14 09:19:27,106,MTC,850142940196556,409816934060883,404-40-5566-7788,"T Nagar, Chennai"
+918634216073,+917474517123,2026-06-27 11:01:15,94,MOC,850142940196556,409816934060883,404-31-4455-6677,"Salt Lake, Kolkata"
+918634216073,+917164752553,2026-06-27 12:10:11,63,MTC,850142940196556,409816934060883,404-31-4455-6677,"Salt Lake, Kolkata"
+918634216073,+919098358416,2026-06-13 17:58:00,242,SMS-O,850142940196556,409816934060883,404-45-2233-4455,"Koramangala, Bengaluru"
+918634216073,+918396218518,2026-06-27 11:53:59,814,MOC,850142940196556,409816934060883,404-10-3344-5566,"Connaught Place, Delhi"
+918634216073,+916244550229,2026-06-15 09:03:43,566,MTC,850142940196556,409816934060883,404-20-1122-3344,"Andheri-E, Mumbai"
+918634216073,+917474517123,2026-06-18 06:42:56,130,MTC,850142940196556,409816934060883,404-10-3344-5566,"Connaught Place, Delhi"
+918634216073,+919662702895,2026-06-07 15:56:45,57,MOC,850142940196556,409816934060883,404-10-3344-5566,"Connaught Place, Delhi"
+919564823662,+918009788208,2026-06-23 02:49:28,848,MOC,791769367632016,403287083172788,404-45-2233-4455,"Koramangala, Bengaluru"
+919564823662,+916969379237,2026-06-10 09:35:37,417,MOC,791769367632016,403287083172788,404-31-4455-6677,"Salt Lake, Kolkata"
+919564823662,+916841241182,2026-06-11 03:44:20,699,MOC,791769367632016,403287083172788,404-40-5566-7788,"T Nagar, Chennai"
+919564823662,+919098358416,2026-06-20 23:52:26,369,MTC,791769367632016,403287083172788,404-45-2233-4455,"Koramangala, Bengaluru"
+919564823662,+916841241182,2026-06-06 04:19:05,860,MTC,791769367632016,403287083172788,404-10-3344-5566,"Connaught Place, Delhi"
+919564823662,+919808760385,2026-06-09 06:50:21,175,SMS-O,791769367632016,403287083172788,404-31-4455-6677,"Salt Lake, Kolkata"
+919564823662,+917141888059,2026-06-23 16:20:26,148,SMS-O,791769367632016,403287083172788,404-20-1122-3344,"Andheri-E, Mumbai"
+919564823662,+919394731217,2026-06-27 22:30:14,73,SMS-O,791769367632016,403287083172788,404-45-2233-4455,"Koramangala, Bengaluru"
+919564823662,+916473799650,2026-06-01 06:15:37,698,MOC,791769367632016,403287083172788,404-40-5566-7788,"T Nagar, Chennai"
+919564823662,+917474517123,2026-06-08 20:03:21,215,SMS-O,791769367632016,403287083172788,404-20-1122-3344,"Andheri-E, Mumbai"
+919564823662,+916244550229,2026-06-23 11:27:17,898,SMS-O,791769367632016,403287083172788,404-45-2233-4455,"Koramangala, Bengaluru"
+919564823662,+916841241182,2026-06-14 23:06:14,841,MOC,791769367632016,403287083172788,404-45-2233-4455,"Koramangala, Bengaluru"
+919564823662,+917474517123,2026-06-13 21:20:43,779,MOC,791769367632016,403287083172788,404-31-4455-6677,"Salt Lake, Kolkata"
+919564823662,+916244550229,2026-06-30 22:37:53,808,SMS-O,791769367632016,403287083172788,404-40-5566-7788,"T Nagar, Chennai"
+919564823662,+916606071596,2026-06-11 04:13:49,304,MTC,791769367632016,403287083172788,404-45-2233-4455,"Koramangala, Bengaluru"
+919434873471,+919270482814,2026-06-24 09:57:30,26,MTC,967054668893734,406706562729806,404-45-2233-4455,"Koramangala, Bengaluru"
+919434873471,+919258815371,2026-06-06 09:50:14,618,MOC,967054668893734,406706562729806,404-20-1122-3344,"Andheri-E, Mumbai"
+919434873471,+916433218196,2026-06-08 10:02:53,350,MOC,967054668893734,406706562729806,404-10-3344-5566,"Connaught Place, Delhi"
+919434873471,+919980793597,2026-06-04 15:58:54,411,MTC,967054668893734,406706562729806,404-45-2233-4455,"Koramangala, Bengaluru"
+919434873471,+918989413435,2026-06-02 14:04:00,358,MTC,967054668893734,406706562729806,404-31-4455-6677,"Salt Lake, Kolkata"
+919434873471,+919258815371,2026-06-06 17:16:54,146,SMS-O,967054668893734,406706562729806,404-20-1122-3344,"Andheri-E, Mumbai"
+919434873471,+916433218196,2026-06-12 02:20:06,373,MOC,967054668893734,406706562729806,404-45-2233-4455,"Koramangala, Bengaluru"
+919434873471,+919662702895,2026-06-12 00:07:20,634,MOC,967054668893734,406706562729806,404-31-4455-6677,"Salt Lake, Kolkata"
+919434873471,+916473799650,2026-06-27 08:28:18,580,MOC,967054668893734,406706562729806,404-31-4455-6677,"Salt Lake, Kolkata"
+918345581223,+916473799650,2026-06-04 08:15:09,530,SMS-O,967054668893734,406706562729806,404-45-2233-4455,"Koramangala, Bengaluru"
+918345581223,+919564823662,2026-06-24 15:41:03,244,MTC,967054668893734,406706562729806,404-20-1122-3344,"Andheri-E, Mumbai"
+918345581223,+918396218518,2026-06-01 14:53:48,258,MOC,967054668893734,406706562729806,404-10-3344-5566,"Connaught Place, Delhi"
+918345581223,+919376311656,2026-06-19 16:48:00,769,SMS-O,967054668893734,406706562729806,404-10-3344-5566,"Connaught Place, Delhi"
+918345581223,+919662702895,2026-06-24 18:17:35,185,MTC,967054668893734,406706562729806,404-20-1122-3344,"Andheri-E, Mumbai"
+917046537556,+918345581223,2026-06-14 14:53:18,796,SMS-O,319314919058651,408506716572628,404-31-4455-6677,"Salt Lake, Kolkata"
+917046537556,+919394731217,2026-06-10 08:17:00,99,MOC,319314919058651,408506716572628,404-31-4455-6677,"Salt Lake, Kolkata"
+917046537556,+917164752553,2026-06-03 16:27:15,392,MOC,319314919058651,408506716572628,404-10-3344-5566,"Connaught Place, Delhi"
+917046537556,+918317139005,2026-06-07 19:50:07,552,MOC,319314919058651,408506716572628,404-20-1122-3344,"Andheri-E, Mumbai"
+917046537556,+919506068536,2026-06-11 17:16:55,415,MTC,319314919058651,408506716572628,404-10-3344-5566,"Connaught Place, Delhi"
+917046537556,+917164752553,2026-06-20 17:18:48,281,SMS-O,319314919058651,408506716572628,404-31-4455-6677,"Salt Lake, Kolkata"
+917046537556,+919564823662,2026-06-19 13:48:03,30,MOC,319314919058651,408506716572628,404-20-1122-3344,"Andheri-E, Mumbai"
