Calling Party Number,Called Party Number,Call Date,Duration (sec),Call Type,IMEI,IMSI,Cell ID,Tower Location
+916433218196,+916969379237,2026-06-27 12:15:02,536,MOC,026542351161559,404078161849593,404-40-5566-7788,"T Nagar, Chennai"
+916433218196,+918396218518,2026-06-23 03:02:23,700,MOC,026542351161559,404078161849593,404-40-5566-7788,"T Nagar, Chennai"
+916433218196,+918317139005,2026-06-17 16:25:59,634,MTC,026542351161559,404078161849593,404-31-4455-6677,"Salt Lake, Kolkata"
+916433218196,+916606071596,2026-06-18 07:26:54,239,MOC,026542351161559,404078161849593,404-20-1122-3344,"Andheri-E, Mumbai"
+917164752553,+918396218518,2026-06-27 10:20:00,877,MOC,884969653287101,402269166978480,404-20-1122-3344,"Andheri-E, Mumbai"
+917164752553,+918680715451,2026-06-19 01:13:57,235,MOC,884969653287101,402269166978480,404-20-1122-3344,"Andheri-E, Mumbai"
+917164752553,+916433218196,2026-06-09 02:38:10,584,MTC,884969653287101,402269166978480,404-40-5566-7788,"T Nagar, Chennai"
+917164752553,+916473799650,2026-06-16 02:39:14,808,MOC,884969653287101,402269166978480,404-40-5566-7788,"T Nagar, Chennai"
+917164752553,+916969379237,2026-06-05 17:30:41,436,MOC,884969653287101,402269166978480,404-10-3344-5566,"Connaught Place, Delhi"
+917164752553,+918396218518,2026-06-08 15:06:41,861,MOC,884969653287101,402269166978480,404-40-5566-7788,"T Nagar, Chennai"
+917164752553,+917474517123,2026-06-24 04:59:09,362,MOC,884969653287101,402269166978480,404-31-4455-6677,"Salt Lake, Kolkata"
+917164752553,+919506068536,2026-06-15 22:17:29,178,MTC,884969653287101,402269166978480,404-20-1122-3344,"Andheri-E, Mumbai"
+917164752553,+917141888059,2026-06-14 04:18:09,69,MOC,884969653287101,402269166978480,404-40-5566-7788,"T Nagar, Chennai"
+917164752553,+919506068536,2026-06-09 13:08:58,524,SMS-O,884969653287101,402269166978480,404-31-4455-6677,"Salt Lake, Kolkata"
+917164752553,+918225358414,2026-06-12 20:51:00,596,MOC,884969653287101,402269166978480,404-45-2233-4455,"Koramangala, Bengaluru"
+917164752553,+916841241182,2026-06-12 03:10:53,336,MOC,884969653287101,402269166978480,404-10-3344-5566,"Connaught Place, Delhi"
+919270482814,+919808760385,2026-06-30 00:30:14,101,MOC,834657871331509,408393010310518,404-45-2233-4455,"Koramangala, Bengaluru"
+919270482814,+918998569847,2026-06-20 12:27:36,825,MTC,834657871331509,408393010310518,404-10-3344-5566,"Connaught Place, Delhi"
+919270482814,+917474517123,2026-06-15 20:49:24,778,MOC,834657871331509,408393010310518,404-10-3344-5566,"Connaught Place, Delhi"
+919270482814,+919394731217,2026-06-18 22:50:49,275,MOC,834657871331509,408393010310518,404-31-4455-6677,"Salt Lake, Kolkata"
+919270482814,+916433218196,2026-06-06 03:34:30,571,MTC,834657871331509,408393010310518,404-31-4455-6677,"Salt Lake, Kolkata"
+919270482814,+916969379237,2026-06-29 11:57:07,689,SMS-O,834657871331509,408393010310518,404-40-5566-7788,"T Nagar, Chennai"
+919270482814,+918396218518,2026-06-15 00:47:29,540,MTC,834657871331509,408393010310518,404-31-4455-6677,"Salt Lake, Kolkata"
+919270482814,+917164752553,2026-06-25 11:49:36,870,MOC,834657871331509,408393010310518,404-20-1122-3344,"Andheri-E, Mumbai"
+919270482814,+918511544796,2026-06-29 15:13:58,47,SMS-O,834657871331509,408393010310518,404-10-3344-5566,"Connaught Place, Delhi"
+919376311656,+916473799650,2026-06-02 15:24:52,631,MOC,317810801326773,406026064746872,404-45-2233-4455,"Koramangala, Bengaluru"
