Calling Party Number,Called Party Number,Call Date,Duration (sec),Call Type,IMEI,IMSI,Cell ID,Tower Location
+916433218196,+918317139005,2026-06-03 04:12:16,796,MTC,026542351161559,404078161849593,404-45-2233-4455,"Koramangala, Bengaluru"
+916433218196,+916473799650,2026-06-20 10:07:34,51,MOC,026542351161559,404078161849593,404-45-2233-4455,"Koramangala, Bengaluru"
+916433218196,+919506068536,2026-06-04 04:23:11,596,MTC,026542351161559,404078161849593,404-40-5566-7788,"T Nagar, Chennai"
+916433218196,+916606071596,2026-06-07 14:00:43,519,MOC,026542351161559,404078161849593,404-10-3344-5566,"Connaught Place, Delhi"
+916433218196,+917046537556,2026-06-27 07:48:48,172,MOC,026542351161559,404078161849593,404-45-2233-4455,"Koramangala, Bengaluru"
+916433218196,+917141888059,2026-06-12 05:50:08,269,SMS-O,026542351161559,404078161849593,404-10-3344-5566,"Connaught Place, Delhi"
+916433218196,+918317139005,2026-06-09 16:12:11,400,MTC,026542351161559,404078161849593,404-20-1122-3344,"Andheri-E, Mumbai"
+916433218196,+916606071596,2026-06-09 10:52:42,627,MTC,026542351161559,404078161849593,404-40-5566-7788,"T Nagar, Chennai"
+916433218196,+919662702895,2026-06-13 10:14:30,817,MTC,026542351161559,404078161849593,404-40-5566-7788,"T Nagar, Chennai"
+916433218196,+916969379237,2026-06-19 07:05:02,646,MOC,026542351161559,404078161849593,404-10-3344-5566,"Connaught Place, Delhi"
+916433218196,+917474517123,2026-06-22 14:16:32,109,MOC,026542351161559,404078161849593,404-31-4455-6677,"Salt Lake, Kolkata"
+917164752553,+919434873471,2026-06-29 17:46:07,356,MOC,884969653287101,402269166978480,404-45-2233-4455,"Koramangala, Bengaluru"
+917164752553,+916969379237,2026-06-15 05:57:18,658,SMS-O,884969653287101,402269166978480,404-10-3344-5566,"Connaught Place, Delhi"
+917164752553,+917474517123,2026-06-08 08:39:37,739,MOC,884969653287101,402269166978480,404-10-3344-5566,"Connaught Place, Delhi"
+917164752553,+916969379237,2026-06-12 15:03:05,497,MTC,884969653287101,402269166978480,404-20-1122-3344,"Andheri-E, Mumbai"
+917164752553,+919564823662,2026-06-09 03:37:34,462,SMS-O,884969653287101,402269166978480,404-45-2233-4455,"Koramangala, Bengaluru"
+917164752553,+917474517123,2026-06-18 13:40:46,228,MOC,884969653287101,402269166978480,404-45-2233-4455,"Koramangala, Bengaluru"
+917164752553,+919506068536,2026-06-12 10:03:19,225,MTC,884969653287101,402269166978480,404-31-4455-6677,"Salt Lake, Kolkata"
+917164752553,+918317139005,2026-06-12 09:45:59,511,MTC,884969653287101,402269166978480,404-20-1122-3344,"Andheri-E, Mumbai"
+917164752553,+918989413435,2026-06-07 11:27:49,676,MOC,884969653287101,402269166978480,404-40-5566-7788,"T Nagar, Chennai"
+917164752553,+918396218518,2026-06-05 08:08:25,631,SMS-O,884969653287101,402269166978480,404-10-3344-5566,"Connaught Place, Delhi"
+919270482814,+919376311656,2026-06-01 11:49:12,433,MTC,834657871331509,408393010310518,404-31-4455-6677,"Salt Lake, Kolkata"
+919270482814,+918225358414,2026-06-10 05:43:17,503,MOC,834657871331509,408393010310518,404-40-5566-7788,"T Nagar, Chennai"
+919270482814,+918511544796,2026-06-16 05:16:12,516,MOC,834657871331509,408393010310518,404-40-5566-7788,"T Nagar, Chennai"
+919270482814,+917474517123,2026-06-22 07:20:59,293,MTC,834657871331509,408393010310518,404-31-4455-6677,"Salt Lake, Kolkata"
+919270482814,+918345581223,2026-06-18 18:14:46,870,MOC,834657871331509,408393010310518,404-45-2233-4455,"Koramangala, Bengaluru"
+919270482814,+918225358414,2026-06-11 05:58:32,308,MOC,834657871331509,408393010310518,404-10-3344-5566,"Connaught Place, Delhi"
+919270482814,+918936183242,2026-06-26 08:10:53,226,MTC,834657871331509,408393010310518,404-40-5566-7788,"T Nagar, Chennai"
+919270482814,+916433218196,2026-06-26 03:16:58,127,MOC,834657871331509,408393010310518,404-31-4455-6677,"Salt Lake, Kolkata"
+919270482814,+916473799650,2026-06-16 06:05:30,474,SMS-O,834657871331509,408393010310518,404-20-1122-3344,"Andheri-E, Mumbai"
+919270482814,+919506068536,2026-06-10 04:18:55,849,MOC,834657871331509,408393010310518,404-31-4455-6677,"Salt Lake, Kolkata"
+919376311656,+919270482814,2026-06-14 10:40:19,170,MOC,317810801326773,406026064746872,404-45-2233-4455,"Koramangala, Bengaluru"
+919376311656,+916606071596,2026-06-27 01:17:10,866,MOC,317810801326773,406026064746872,404-31-4455-6677,"Salt Lake, Kolkata"
+919376311656,+918634216073,2026-06-03 08:30:35,697,SMS-O,317810801326773,406026064746872,404-20-1122-3344,"Andheri-E, Mumbai"
+919376311656,+916244550229,2026-06-05 12:27:35,95,SMS-O,317810801326773,406026064746872,404-31-4455-6677,"Salt Lake, Kolkata"
+919376311656,+916606071596,2026-06-24 23:52:47,572,MOC,317810801326773,406026064746872,404-10-3344-5566,"Connaught Place, Delhi"
+919376311656,+918009788208,2026-06-19 02:46:38,640,SMS-O,317810801326773,406026064746872,404-10-3344-5566,"Connaught Place, Delhi"
+919376311656,+916054119986,2026-06-18 20:38:31,67,MTC,317810801326773,406026064746872,404-20-1122-3344,"Andheri-E, Mumbai"
+919376311656,+916969379237,2026-06-06 20:50:58,723,MOC,317810801326773,406026064746872,404-40-5566-7788,"T Nagar, Chennai"
+918009788208,+916969379237,2026-06-26 07:44:23,353,SMS-O,998543534624751,400799118384251,404-10-3344-5566,"Connaught Place, Delhi"
+918009788208,+917141888059,2026-06-07 23:15:46,724,MOC,998543534624751,400799118384251,404-31-4455-6677,"Salt Lake, Kolkata"
+918009788208,+918634216073,2026-06-29 11:13:50,598,SMS-O,998543534624751,400799118384251,404-31-4455-6677,"Salt Lake, Kolkata"
+918009788208,+919098358416,2026-06-06 00:50:31,678,MTC,998543534624751,400799118384251,404-40-5566-7788,"T Nagar, Chennai"
+918009788208,+916969379237,2026-06-27 07:06:36,53,MOC,998543534624751,400799118384251,404-10-3344-5566,"Connaught Place, Delhi"
+918009788208,+916606071596,2026-06-16 23:04:46,119,MTC,998543534624751,400799118384251,404-10-3344-5566,"Connaught Place, Delhi"
+916841241182,+917164752553,2026-06-16 22:32:27,315,SMS-O,427868011280598,402620450533158,404-45-2233-4455,"Koramangala, Bengaluru"
+916841241182,+919258815371,2026-06-23 09:12:04,325,SMS-O,427868011280598,402620450533158,404-10-3344-5566,"Connaught Place, Delhi"
+916841241182,+918396218518,2026-06-15 18:21:12,300,MOC,427868011280598,402620450533158,404-45-2233-4455,"Koramangala, Bengaluru"
+916841241182,+919564823662,2026-06-30 11:22:41,693,MTC,427868011280598,402620450533158,404-45-2233-4455,"Koramangala, Bengaluru"
+916841241182,+918345581223,2026-06-06 16:45:26,849,MTC,427868011280598,402620450533158,404-20-1122-3344,"Andheri-E, Mumbai"
+916841241182,+916969379237,2026-06-25 01:49:04,85,MTC,427868011280598,402620450533158,404-40-5566-7788,"T Nagar, Chennai"
+916841241182,+919258815371,2026-06-18 15:57:47,715,MOC,427868011280598,402620450533158,404-40-5566-7788,"T Nagar, Chennai"
+918634216073,+919808760385,2026-06-14 05:17:38,557,MTC,850142940196556,409816934060883,404-45-2233-4455,"Koramangala, Bengaluru"
+918634216073,+916969379237,2026-06-09 19:53:13,410,MTC,850142940196556,409816934060883,404-31-4455-6677,"Salt Lake, Kolkata"
+918634216073,+918225358414,2026-06-06 00:46:37,479,MTC,850142940196556,409816934060883,404-40-5566-7788,"T Nagar, Chennai"
+918634216073,+917293183933,2026-06-04 18:37:57,850,MOC,850142940196556,409816934060883,404-20-1122-3344,"Andheri-E, Mumbai"
+918634216073,+919434873471,2026-06-01 14:25:42,827,MTC,850142940196556,409816934060883,404-45-2233-4455,"Koramangala, Bengaluru"
+918634216073,+917474517123,2026-06-14 12:39:18,488,SMS-O,850142940196556,409816934060883,404-31-4455-6677,"Salt Lake, Kolkata"
+918634216073,+917474517123,2026-06-21 17:16:35,836,MOC,850142940196556,409816934060883,404-20-1122-3344,"Andheri-E, Mumbai"
+918634216073,+919394731217,2026-06-11 05:29:44,799,MOC,850142940196556,409816934060883,404-40-5566-7788,"T Nagar, Chennai"
+918634216073,+919394731217,2026-06-11 15:43:12,675,MTC,850142940196556,409816934060883,404-31-4455-6677,"Salt Lake, Kolkata"
+918634216073,+919394731217,2026-06-09 09:02:02,620,MOC,850142940196556,409816934060883,404-45-2233-4455,"Koramangala, Bengaluru"
+918634216073,+916473799650,2026-06-15 04:06:30,119,MOC,850142940196556,409816934060883,404-20-1122-3344,"Andheri-E, Mumbai"
+918634216073,+919662702895,2026-06-25 21:19:17,661,MTC,850142940196556,409816934060883,404-31-4455-6677,"Salt Lake, Kolkata"
+919564823662,+918009788208,2026-06-24 11:44:09,845,MOC,791769367632016,403287083172788,404-10-3344-5566,"Connaught Place, Delhi"
+919564823662,+916969379237,2026-06-06 19:00:35,150,SMS-O,791769367632016,403287083172788,404-20-1122-3344,"Andheri-E, Mumbai"
+919564823662,+919098358416,2026-06-05 00:46:11,644,MOC,791769367632016,403287083172788,404-10-3344-5566,"Connaught Place, Delhi"
+919564823662,+917408240084,2026-06-08 15:18:44,610,SMS-O,791769367632016,403287083172788,404-31-4455-6677,"Salt Lake, Kolkata"
+919564823662,+919098358416,2026-06-21 17:22:49,255,SMS-O,791769367632016,403287083172788,404-40-5566-7788,"T Nagar, Chennai"
+919564823662,+916606071596,2026-06-02 07:43:57,427,MOC,791769367632016,403287083172788,404-40-5566-7788,"T Nagar, Chennai"
+919564823662,+917293183933,2026-06-20 11:07:28,414,SMS-O,791769367632016,403287083172788,404-31-4455-6677,"Salt Lake, Kolkata"
+919564823662,+918225358414,2026-06-12 19:34:01,202,MOC,791769367632016,403287083172788,404-40-5566-7788,"T Nagar, Chennai"
+919434873471,+919808760385,2026-06-23 18:20:20,72,MTC,967054668893734,406706562729806,404-40-5566-7788,"T Nagar, Chennai"
+919434873471,+919270482814,2026-06-09 11:07:40,777,MTC,967054668893734,406706562729806,404-40-5566-7788,"T Nagar, Chennai"
+919434873471,+917164752553,2026-06-14 01:29:57,372,MOC,967054668893734,406706562729806,404-40-5566-7788,"T Nagar, Chennai"
+919434873471,+918396218518,2026-06-06 20:03:31,535,SMS-O,967054668893734,406706562729806,404-40-5566-7788,"T Nagar, Chennai"
+919434873471,+919376311656,2026-06-15 00:10:48,386,SMS-O,967054668893734,406706562729806,404-45-2233-4455,"Koramangala, Bengaluru"
+919434873471,+919270482814,2026-06-18 00:09:26,203,SMS-O,967054668893734,406706562729806,404-20-1122-3344,"Andheri-E, Mumbai"
+919434873471,+918641708053,2026-06-14 20:58:21,505,SMS-O,967054668893734,406706562729806,404-31-4455-6677,"Salt Lake, Kolkata"
+919434873471,+919394731217,2026-06-14 05:52:57,127,MOC,967054668893734,406706562729806,404-31-4455-6677,"Salt Lake, Kolkata"
+919434873471,+918641708053,2026-06-29 20:55:55,470,MOC,967054668893734,406706562729806,404-31-4455-6677,"Salt Lake, Kolkata"
+919434873471,+918511544796,2026-06-03 07:43:02,527,MOC,967054668893734,406706562729806,404-40-5566-7788,"T Nagar, Chennai"
+919434873471,+916433218196,2026-06-07 03:19:29,649,MTC,967054668893734,406706562729806,404-40-5566-7788,"T Nagar, Chennai"
+918345581223,+918680715451,2026-06-01 14:41:28,827,MOC,967054668893734,406706562729806,404-10-3344-5566,"Connaught Place, Delhi"
+918345581223,+919258815371,2026-06-29 17:07:27,435,SMS-O,967054668893734,406706562729806,404-10-3344-5566,"Connaught Place, Delhi"
+918345581223,+919270482814,2026-06-16 12:58:36,160,MOC,967054668893734,406706562729806,404-40-5566-7788,"T Nagar, Chennai"
