Calling Party Number,Called Party Number,Call Date,Duration (sec),Call Type,IMEI,IMSI,Cell ID,Tower Location
+916433218196,+919376311656,2026-06-21 01:27:45,133,MTC,026542351161559,404078161849593,404-40-5566-7788,"T Nagar, Chennai"
+916433218196,+918009788208,2026-06-19 06:08:33,354,MTC,026542351161559,404078161849593,404-10-3344-5566,"Connaught Place, Delhi"
+916433218196,+919980793597,2026-06-30 20:28:00,655,MOC,026542351161559,404078161849593,404-31-4455-6677,"Salt Lake, Kolkata"
+916433218196,+918641708053,2026-06-30 17:04:38,521,SMS-O,026542351161559,404078161849593,404-31-4455-6677,"Salt Lake, Kolkata"
+916433218196,+919376311656,2026-06-04 01:18:34,74,MTC,026542351161559,404078161849593,404-20-1122-3344,"Andheri-E, Mumbai"
+916433218196,+919662702895,2026-06-04 14:15:32,506,MOC,026542351161559,404078161849593,404-31-4455-6677,"Salt Lake, Kolkata"
+916433218196,+916473799650,2026-06-08 16:33:14,287,SMS-O,026542351161559,404078161849593,404-10-3344-5566,"Connaught Place, Delhi"
+916433218196,+919376311656,2026-06-22 20:43:41,285,MOC,026542351161559,404078161849593,404-31-4455-6677,"Salt Lake, Kolkata"
+916433218196,+919098358416,2026-06-29 18:01:16,176,MTC,026542351161559,404078161849593,404-31-4455-6677,"Salt Lake, Kolkata"
+916433218196,+919564823662,2026-06-22 07:44:22,676,MTC,026542351161559,404078161849593,404-10-3344-5566,"Connaught Place, Delhi"
+916433218196,+918396218518,2026-06-15 15:55:49,708,MOC,026542351161559,404078161849593,404-45-2233-4455,"Koramangala, Bengaluru"
+916433218196,+919980793597,2026-06-12 02:04:00,139,MOC,026542351161559,404078161849593,404-20-1122-3344,"Andheri-E, Mumbai"
+916433218196,+919270482814,2026-06-18 07:57:26,558,MTC,026542351161559,404078161849593,404-20-1122-3344,"Andheri-E, Mumbai"
+916433218196,+919376311656,2026-06-04 08:03:52,501,MOC,026542351161559,404078161849593,404-45-2233-4455,"Koramangala, Bengaluru"
+916433218196,+918345581223,2026-06-07 13:05:21,36,MOC,026542351161559,404078161849593,404-40-5566-7788,"T Nagar, Chennai"
+917164752553,+918345581223,2026-06-19 00:33:42,424,SMS-O,884969653287101,402269166978480,404-31-4455-6677,"Salt Lake, Kolkata"
+917164752553,+916433218196,2026-06-28 15:45:00,352,MOC,884969653287101,402269166978480,404-31-4455-6677,"Salt Lake, Kolkata"
+917164752553,+918680715451,2026-06-13 08:17:33,351,MOC,884969653287101,402269166978480,404-40-5566-7788,"T Nagar, Chennai"
+917164752553,+917408240084,2026-06-27 08:49:00,43,SMS-O,884969653287101,402269166978480,404-45-2233-4455,"Koramangala, Bengaluru"
+917164752553,+918634216073,2026-06-20 01:22:42,567,SMS-O,884969653287101,402269166978480,404-20-1122-3344,"Andheri-E, Mumbai"
+917164752553,+919376311656,2026-06-21 19:48:16,177,MOC,884969653287101,402269166978480,404-10-3344-5566,"Connaught Place, Delhi"
+917164752553,+916969379237,2026-06-14 13:37:02,459,SMS-O,884969653287101,402269166978480,404-45-2233-4455,"Koramangala, Bengaluru"
+917164752553,+918936183242,2026-06-15 09:43:08,531,MOC,884969653287101,402269166978480,404-31-4455-6677,"Salt Lake, Kolkata"
+917164752553,+916473799650,2026-06-25 23:58:11,338,MTC,884969653287101,402269166978480,404-31-4455-6677,"Salt Lake, Kolkata"
+917164752553,+919808760385,2026-06-02 08:50:09,499,MOC,884969653287101,402269166978480,404-40-5566-7788,"T Nagar, Chennai"
+917164752553,+919662702895,2026-06-29 21:28:27,411,MOC,884969653287101,402269166978480,404-45-2233-4455,"Koramangala, Bengaluru"
+919270482814,+919564823662,2026-06-02 19:33:06,661,MOC,834657871331509,408393010310518,404-45-2233-4455,"Koramangala, Bengaluru"
+919270482814,+918936183242,2026-06-25 22:40:10,79,MOC,834657871331509,408393010310518,404-20-1122-3344,"Andheri-E, Mumbai"
