Subscriber ID,Private IP,Public IP,Source Port,Session Start Time,Session End Time,Uplink Bytes,Downlink Bytes,Destination IP,IMEI
+916433218196,10.240.180.94,25.116.148.253,62493,2026-06-03 04:03:56,2026-06-03 05:04:56,2108713,16434193,153.112.117.68,026542351161559
+916433218196,10.113.146.198,25.116.148.253,46355,2026-06-22 23:04:19,2026-06-22 23:33:19,2709066,30229370,154.10.230.78,026542351161559
+916433218196,10.109.204.87,25.116.148.253,6774,2026-06-29 18:36:00,2026-06-29 20:14:00,3439312,4850140,99.163.224.28,026542351161559
+916433218196,10.161.128.69,25.116.148.253,45725,2026-06-24 23:27:36,2026-06-25 00:27:36,206043,41349116,217.168.240.215,026542351161559
+916433218196,10.72.155.107,25.116.148.253,42725,2026-06-06 01:25:56,2026-06-06 03:06:56,3378769,2952850,45.23.179.134,026542351161559
+916433218196,10.24.91.52,25.116.148.253,41720,2026-06-05 12:26:19,2026-06-05 13:35:19,2456822,21494214,49.94.222.7,026542351161559
+916433218196,10.246.12.2,25.116.148.253,38245,2026-06-12 02:10:48,2026-06-12 03:48:48,4869158,15353958,66.64.36.223,026542351161559
+916433218196,10.32.195.139,25.116.148.253,4093,2026-06-29 21:28:46,2026-06-29 21:52:46,2530162,37864927,37.201.82.21,026542351161559
+916433218196,10.244.185.145,25.116.148.253,15903,2026-06-01 06:31:06,2026-06-01 08:09:06,3635860,28912418,79.67.171.68,026542351161559
+916433218196,10.188.66.80,25.116.148.253,56372,2026-06-22 11:32:06,2026-06-22 13:21:06,1811489,20806731,115.33.106.18,026542351161559
+916433218196,10.154.190.9,25.116.148.253,10382,2026-06-11 03:05:47,2026-06-11 04:23:47,4464307,27030118,202.45.29.177,026542351161559
+916433218196,10.207.202.55,25.116.148.253,61823,2026-06-03 04:01:56,2026-06-03 05:54:56,1513988,35203066,217.204.206.194,026542351161559
+917164752553,10.39.16.132,188.136.174.29,52053,2026-06-06 10:58:50,2026-06-06 11:51:50,3296686,7536623,65.103.57.176,884969653287101
+917164752553,10.132.18.194,188.136.174.29,65368,2026-06-02 00:16:37,2026-06-02 02:14:37,1282281,16336655,80.2.176.44,884969653287101
+917164752553,10.129.236.130,188.136.174.29,17496,2026-06-27 17:14:48,2026-06-27 18:43:48,2516160,22625217,87.162.219.246,884969653287101
+917164752553,10.221.114.138,188.136.174.29,33458,2026-06-12 16:14:53,2026-06-12 16:46:53,3256575,31104927,15.178.238.77,884969653287101
+917164752553,10.249.130.52,188.136.174.29,2114,2026-06-28 10:28:04,2026-06-28 10:33:04,358666,32869599,79.66.66.229,884969653287101
+917164752553,10.169.210.74,188.136.174.29,29295,2026-06-06 10:36:19,2026-06-06 12:19:19,1159323,3163351,204.164.240.219,884969653287101
+917164752553,10.225.31.152,188.136.174.29,11024,2026-06-21 03:24:48,2026-06-21 04:45:48,4527874,45511982,160.126.214.185,884969653287101
+917164752553,10.217.138.229,188.136.174.29,30590,2026-06-04 09:29:35,2026-06-04 10:24:35,3843961,48629214,28.57.168.200,884969653287101
+917164752553,10.63.59.156,188.136.174.29,14392,2026-06-27 18:12:39,2026-06-27 19:55:39,326956,13674272,63.26.207.13,884969653287101
+917164752553,10.188.50.134,188.136.174.29,9164,2026-06-27 20:42:35,2026-06-27 21:51:35,3012206,35668432,43.29.114.53,884969653287101
+919270482814,10.213.90.82,85.248.109.139,28241,2026-06-10 06:21:27,2026-06-10 06:25:27,175303,32639103,149.128.32.246,834657871331509
+919270482814,10.234.198.165,85.248.109.139,53821,2026-06-11 22:14:13,2026-06-12 00:14:13,2983153,1505036,101.33.194.101,834657871331509
+919270482814,10.241.122.78,85.248.109.139,7160,2026-06-12 06:42:45,2026-06-12 08:11:45,3225862,8585274,49.177.108.178,834657871331509
+919270482814,10.163.69.230,85.248.109.139,31547,2026-06-29 03:37:49,2026-06-29 05:30:49,4494523,2745880,150.123.253.225,834657871331509
+919270482814,10.234.107.132,85.248.109.139,64686,2026-06-03 15:05:54,2026-06-03 16:45:54,1382534,24044405,185.218.145.106,834657871331509
+919270482814,10.93.15.26,85.248.109.139,26821,2026-06-17 08:45:57,2026-06-17 10:20:57,4008715,16124228,126.154.82.101,834657871331509
+919270482814,10.164.15.53,85.248.109.139,49510,2026-06-08 07:50:16,2026-06-08 08:43:16,1043524,1428993,123.129.121.3,834657871331509
+919270482814,10.230.171.35,85.248.109.139,6414,2026-06-20 23:11:50,2026-06-20 23:42:50,4384461,25749436,106.19.52.43,834657871331509
+919270482814,10.153.158.76,85.248.109.139,58104,2026-06-04 05:11:49,2026-06-04 05:34:49,253200,21516999,16.218.205.37,834657871331509
+919270482814,10.167.191.18,85.248.109.139,4769,2026-06-17 08:18:09,2026-06-17 10:07:09,1582208,7619027,18.67.15.100,834657871331509
+919270482814,10.80.222.223,85.248.109.139,30089,2026-06-12 03:49:41,2026-06-12 04:37:41,3570949,13596461,64.142.14.68,834657871331509
+919270482814,10.30.181.88,85.248.109.139,34731,2026-06-21 05:31:10,2026-06-21 07:15:10,3977496,11732284,107.80.26.253,834657871331509
+919270482814,10.5.252.66,85.248.109.139,53948,2026-06-21 19:42:32,2026-06-21 20:28:32,3298661,35903710,170.242.172.49,834657871331509
+919270482814,10.189.177.131,85.248.109.139,30332,2026-06-17 11:55:44,2026-06-17 12:50:44,4196797,15908086,105.20.223.111,834657871331509
+919376311656,10.208.202.129,89.111.29.149,4529,2026-06-07 01:10:43,2026-06-07 02:56:43,1768821,4503860,147.225.228.96,317810801326773
+919376311656,10.37.249.141,89.111.29.149,9142,2026-06-02 05:22:07,2026-06-02 05:31:07,1338130,14835000,114.200.155.248,317810801326773
+919376311656,10.39.65.79,89.111.29.149,18094,2026-06-09 05:53:02,2026-06-09 06:10:02,4158585,14206227,126.196.108.215,317810801326773
+919376311656,10.175.95.71,89.111.29.149,25304,2026-06-23 08:39:01,2026-06-23 10:31:01,2022623,9645763,119.81.116.208,317810801326773
+919376311656,10.222.27.70,89.111.29.149,2118,2026-06-01 09:09:01,2026-06-01 10:34:01,1524525,40960198,189.98.39.38,317810801326773
+919376311656,10.35.74.115,89.111.29.149,47099,2026-06-17 07:27:09,2026-06-17 07:35:09,3897321,19920888,145.146.66.66,317810801326773
+919376311656,10.159.175.31,89.111.29.149,20964,2026-06-10 13:18:14,2026-06-10 14:20:14,1661337,28314808,100.22.66.156,317810801326773
