Account Number,Account Name,Customer Mobile,Transaction Date,Narration,Debit,Credit,Balance,Ref No
33890838637,Aryan Maharaj,+916433218196,01/06/2026 23:44:49,NEFT/Saumya Mall/100000014529,931345.82,,-567356.94,100000014529
33890838637,Aryan Maharaj,+916433218196,02/06/2026 01:44:49,IMPS/Viraj Tiwari/100000014577,,562889.0,-4467.94,100000014577
33890838637,Aryan Maharaj,+916433218196,02/06/2026 02:24:49,IMPS/Viraj Tiwari/100000014668,534744.55,,-539212.49,100000014668
33890838637,Aryan Maharaj,+916433218196,02/06/2026 05:14:49,RTGS/Saumya Mall/100000014779,,610049.01,70836.52,100000014779
33890838637,Aryan Maharaj,+916433218196,02/06/2026 05:29:49,RTGS/Udant Dewan/100000014786,591747.54,,-520911.02,100000014786
33890838637,Aryan Maharaj,+916433218196,02/06/2026 08:44:49,IMPS/Saumya Mall/100000014795,,200979.03,-319931.99,100000014795
33890838637,Aryan Maharaj,+916433218196,02/06/2026 09:04:49,IMPS/Udant Dewan/100000014891,200979.03,,-520911.02,100000014891
33890838637,Aryan Maharaj,+916433218196,02/06/2026 23:04:31,NEFT/Nathaniel Sami/100000000289,,11022.39,-509888.63,100000000289
33890838637,Aryan Maharaj,+916433218196,03/06/2026 12:42:58,IMPS/Nathaniel Sami/100000001067,10720.84,,-520609.47,100000001067
33890838637,Aryan Maharaj,+916433218196,03/06/2026 15:19:18,RTGS/Gagan Sami/100000000845,20953.4,,-541562.87,100000000845
33890838637,Aryan Maharaj,+916433218196,04/06/2026 00:36:24,UPI/viraj430@sbin/Viraj Tiwari/100000001134,31852.42,,-573415.29,100000001134
33890838637,Aryan Maharaj,+916433218196,04/06/2026 12:40:53,UPI/udant33@icic/Udant Dewan/100000000022,49138.59,,-622553.88,100000000022
33890838637,Aryan Maharaj,+916433218196,06/06/2026 01:56:01,IMPS/Nathaniel Sami/100000000473,,11430.06,-611123.82,100000000473
33890838637,Aryan Maharaj,+916433218196,06/06/2026 04:01:08,RTGS/Udant Dewan/100000000085,15528.33,,-626652.15,100000000085
33890838637,Aryan Maharaj,+916433218196,06/06/2026 04:20:55,RTGS/Nathaniel Sami/100000000686,,29678.07,-596974.08,100000000686
33890838637,Aryan Maharaj,+916433218196,07/06/2026 02:41:26,NEFT/Rushil Saini/100000000954,,35805.51,-561168.57,100000000954
33890838637,Aryan Maharaj,+916433218196,08/06/2026 00:48:28,RTGS/Nathaniel Sami/100000000553,25477.83,,-586646.4,100000000553
33890838637,Aryan Maharaj,+916433218196,08/06/2026 11:59:23,IMPS/Gagan Sami/100000000337,,572.33,-586074.07,100000000337
33890838637,Aryan Maharaj,+916433218196,08/06/2026 14:07:21,NEFT/Nathaniel Sami/100000000532,14416.24,,-600490.31,100000000532
33890838637,Aryan Maharaj,+916433218196,08/06/2026 17:43:30,RTGS/Viraj Tiwari/100000000754,,44429.97,-556060.34,100000000754
33890838637,Aryan Maharaj,+916433218196,09/06/2026 20:47:03,NEFT/Saumya Mall/100000000216,,21745.42,-534314.92,100000000216
33890838637,Aryan Maharaj,+916433218196,09/06/2026 23:55:32,RTGS/Ayushman Chander/100000000858,,48367.13,-485947.79,100000000858
33890838637,Aryan Maharaj,+916433218196,10/06/2026 19:36:46,UPI/viraj430@sbin/Viraj Tiwari/100000001251,24992.74,,-510940.53,100000001251
33890838637,Aryan Maharaj,+916433218196,11/06/2026 11:09:51,RTGS/Saumya Mall/100000001028,21566.27,,-532506.8,100000001028
33890838637,Aryan Maharaj,+916433218196,11/06/2026 14:56:24,IMPS/Gagan Sami/100000001182,,40443.65,-492063.15,100000001182
33890838637,Aryan Maharaj,+916433218196,11/06/2026 22:19:15,UPI/gagan952@sbin/Gagan Sami/100000000674,,14418.01,-477645.14,100000000674
33890838637,Aryan Maharaj,+916433218196,11/06/2026 23:11:12,IMPS/Saumya Mall/100000000403,,36525.79,-441119.35,100000000403
33890838637,Aryan Maharaj,+916433218196,11/06/2026 23:32:09,IMPS/Saumya Mall/100000000635,,39656.08,-401463.27,100000000635
33890838637,Aryan Maharaj,+916433218196,12/06/2026 23:51:24,RTGS/Udant Dewan/100000000146,13991.37,,-415454.64,100000000146
33890838637,Aryan Maharaj,+916433218196,13/06/2026 19:42:07,NEFT/Gagan Sami/100000000291,803.26,,-416257.9,100000000291
33890838637,Aryan Maharaj,+916433218196,14/06/2026 06:51:17,RTGS/Rushil Saini/100000001008,,39856.18,-376401.72,100000001008
33890838637,Aryan Maharaj,+916433218196,14/06/2026 14:28:57,NEFT/Rushil Saini/100000000486,7955.16,,-384356.88,100000000486
