Account Number,Account Name,Customer Mobile,Transaction Date,Narration,Debit,Credit,Balance,Ref No
91361939909,Viraj Tiwari,+918009788208,01/06/2026 06:23:15,IMPS/Aryan Maharaj/100000009191,17447.96,,217571.42,100000009191
91361939909,Viraj Tiwari,+918009788208,01/06/2026 20:47:49,IMPS/Ayushman Chander/100000014333,575533.77,,-357962.35,100000014333
91361939909,Viraj Tiwari,+918009788208,02/06/2026 01:44:49,IMPS/Aryan Maharaj/100000014577,562889.0,,-920851.35,100000014577
91361939909,Viraj Tiwari,+918009788208,02/06/2026 02:24:49,IMPS/Aryan Maharaj/100000014668,,534744.55,-386106.8,100000014668
91361939909,Viraj Tiwari,+918009788208,02/06/2026 04:44:49,RTGS/Ayushman Chander/100000014688,,648367.53,262260.73,100000014688
91361939909,Viraj Tiwari,+918009788208,02/06/2026 04:59:49,RTGS/Saumya Mall/100000014773,628916.5,,-366655.77,100000014773
91361939909,Viraj Tiwari,+918009788208,02/06/2026 13:59:22,NEFT/Ayushman Chander/100000008668,,37323.17,-329332.6,100000008668
91361939909,Viraj Tiwari,+918009788208,02/06/2026 16:48:01,NEFT/Nathaniel Sami/100000009285,17919.12,,-347251.72,100000009285
91361939909,Viraj Tiwari,+918009788208,03/06/2026 00:45:16,IMPS/Rushil Saini/100000009006,9461.12,,-356712.84,100000009006
91361939909,Viraj Tiwari,+918009788208,03/06/2026 19:37:01,IMPS/Aryan Maharaj/100000009135,,28072.74,-328640.1,100000009135
91361939909,Viraj Tiwari,+918009788208,03/06/2026 19:38:05,NEFT/Rushil Saini/100000008743,1480.18,,-330120.28,100000008743
91361939909,Viraj Tiwari,+918009788208,04/06/2026 07:23:05,NEFT/Nathaniel Sami/100000008390,11739.86,,-341860.14,100000008390
91361939909,Viraj Tiwari,+918009788208,04/06/2026 15:39:16,RTGS/Udant Dewan/100000009267,3219.64,,-345079.78,100000009267
91361939909,Viraj Tiwari,+918009788208,05/06/2026 05:51:36,IMPS/Saumya Mall/100000008880,,45693.18,-299386.6,100000008880
91361939909,Viraj Tiwari,+918009788208,05/06/2026 06:30:00,IMPS/Rushil Saini/100000008537,,47461.28,-251925.32,100000008537
91361939909,Viraj Tiwari,+918009788208,06/06/2026 22:32:02,RTGS/Gagan Sami/100000008208,,32993.98,-218931.34,100000008208
91361939909,Viraj Tiwari,+918009788208,07/06/2026 05:40:28,NEFT/Aryan Maharaj/100000009044,2275.58,,-221206.92,100000009044
91361939909,Viraj Tiwari,+918009788208,07/06/2026 15:13:18,RTGS/Nathaniel Sami/100000008979,,39714.43,-181492.49,100000008979
91361939909,Viraj Tiwari,+918009788208,07/06/2026 17:07:55,NEFT/Udant Dewan/100000008803,,21570.65,-159921.84,100000008803
91361939909,Viraj Tiwari,+918009788208,08/06/2026 07:55:33,IMPS/Aryan Maharaj/100000008882,,12257.66,-147664.18,100000008882
91361939909,Viraj Tiwari,+918009788208,09/06/2026 05:23:48,IMPS/Aryan Maharaj/100000008280,48862.2,,-196526.38,100000008280
91361939909,Viraj Tiwari,+918009788208,09/06/2026 21:05:54,UPI/gagan952@sbin/Gagan Sami/100000009158,24920.07,,-221446.45,100000009158
91361939909,Viraj Tiwari,+918009788208,11/06/2026 01:49:51,NEFT/Udant Dewan/100000008665,,7306.49,-214139.96,100000008665
91361939909,Viraj Tiwari,+918009788208,11/06/2026 21:36:37,IMPS/Saumya Mall/100000009106,,8962.25,-205177.71,100000009106
91361939909,Viraj Tiwari,+918009788208,13/06/2026 05:52:36,RTGS/Rushil Saini/100000008972,36956.75,,-242134.46,100000008972
91361939909,Viraj Tiwari,+918009788208,13/06/2026 08:06:04,UPI/gagan60@punb/Gagan Sami/100000009362,,1032.37,-241102.09,100000009362
91361939909,Viraj Tiwari,+918009788208,13/06/2026 10:30:59,NEFT/Nathaniel Sami/100000008140,,6847.79,-234254.3,100000008140
91361939909,Viraj Tiwari,+918009788208,13/06/2026 14:02:30,RTGS/Nathaniel Sami/100000008302,10301.83,,-244556.13,100000008302
91361939909,Viraj Tiwari,+918009788208,14/06/2026 07:22:50,UPI/udant33@icic/Udant Dewan/100000008578,7946.91,,-252503.04,100000008578
91361939909,Viraj Tiwari,+918009788208,14/06/2026 09:42:57,RTGS/Udant Dewan/100000008470,,41831.39,-210671.65,100000008470
