Calling Party Number,Called Party Number,Call Date,Duration (sec),Call Type,IMEI,IMSI,Cell ID,Tower Location
+916433218196,+919376311656,2026-06-10 17:03:47,51,MOC,026542351161559,404078161849593,404-45-2233-4455,"Koramangala, Bengaluru"
+916433218196,+917164752553,2026-06-10 03:04:16,354,MTC,026542351161559,404078161849593,404-10-3344-5566,"Connaught Place, Delhi"
+916433218196,+916841241182,2026-06-04 07:00:21,519,MOC,026542351161559,404078161849593,404-10-3344-5566,"Connaught Place, Delhi"
+917164752553,+919564823662,2026-06-14 15:25:36,743,MOC,884969653287101,402269166978480,404-45-2233-4455,"Koramangala, Bengaluru"
+917164752553,+919270482814,2026-06-08 18:29:41,163,MOC,884969653287101,402269166978480,404-31-4455-6677,"Salt Lake, Kolkata"
+919270482814,+916433218196,2026-06-13 13:36:25,687,MOC,834657871331509,408393010310518,404-40-5566-7788,"T Nagar, Chennai"
+919270482814,+916433218196,2026-06-01 16:04:06,361,SMS-O,834657871331509,408393010310518,404-31-4455-6677,"Salt Lake, Kolkata"
+919376311656,+919564823662,2026-06-05 00:44:49,642,MTC,317810801326773,406026064746872,404-40-5566-7788,"T Nagar, Chennai"
+919376311656,+919564823662,2026-06-11 11:13:23,546,MOC,317810801326773,406026064746872,404-20-1122-3344,"Andheri-E, Mumbai"
+919376311656,+917164752553,2026-06-14 11:35:29,576,SMS-O,317810801326773,406026064746872,404-20-1122-3344,"Andheri-E, Mumbai"
+918009788208,+919564823662,2026-06-10 17:01:52,326,MOC,998543534624751,400799118384251,404-31-4455-6677,"Salt Lake, Kolkata"
+918009788208,+916841241182,2026-06-05 23:30:17,519,MTC,998543534624751,400799118384251,404-10-3344-5566,"Connaught Place, Delhi"
+918009788208,+916433218196,2026-06-07 13:34:01,854,MOC,998543534624751,400799118384251,404-45-2233-4455,"Koramangala, Bengaluru"
+918009788208,+919376311656,2026-06-10 15:08:54,683,MTC,998543534624751,400799118384251,404-45-2233-4455,"Koramangala, Bengaluru"
+918009788208,+916433218196,2026-06-13 05:03:14,882,SMS-O,998543534624751,400799118384251,404-20-1122-3344,"Andheri-E, Mumbai"
+918009788208,+919270482814,2026-06-10 23:35:26,871,MOC,998543534624751,400799118384251,404-31-4455-6677,"Salt Lake, Kolkata"
+918009788208,+919564823662,2026-06-05 17:56:58,429,MTC,998543534624751,400799118384251,404-10-3344-5566,"Connaught Place, Delhi"
+916841241182,+918009788208,2026-06-08 08:41:09,856,MTC,427868011280598,402620450533158,404-20-1122-3344,"Andheri-E, Mumbai"
+916841241182,+919564823662,2026-06-11 22:47:58,719,MOC,427868011280598,402620450533158,404-40-5566-7788,"T Nagar, Chennai"
+918634216073,+917164752553,2026-06-09 09:37:04,787,MOC,850142940196556,409816934060883,404-40-5566-7788,"T Nagar, Chennai"
+918634216073,+918009788208,2026-06-03 02:59:06,489,MOC,850142940196556,409816934060883,404-40-5566-7788,"T Nagar, Chennai"
+918634216073,+919270482814,2026-06-06 01:40:31,227,MOC,850142940196556,409816934060883,404-10-3344-5566,"Connaught Place, Delhi"
+919564823662,+919376311656,2026-06-08 20:51:42,392,MOC,791769367632016,403287083172788,404-45-2233-4455,"Koramangala, Bengaluru"
+919564823662,+918634216073,2026-06-01 11:00:17,432,MOC,791769367632016,403287083172788,404-45-2233-4455,"Koramangala, Bengaluru"
+919564823662,+918009788208,2026-06-11 03:35:09,592,MOC,791769367632016,403287083172788,404-45-2233-4455,"Koramangala, Bengaluru"
