Calling Party Number,Called Party Number,Call Date,Duration (sec),Call Type,IMEI,IMSI,Cell ID,Tower Location
+916433218196,+918009788208,2026-06-14 06:07:31,536,MOC,026542351161559,404078161849593,404-40-5566-7788,"T Nagar, Chennai"
+916433218196,+919376311656,2026-06-14 03:54:24,172,MOC,026542351161559,404078161849593,404-45-2233-4455,"Koramangala, Bengaluru"
+916433218196,+917164752553,2026-06-02 12:39:17,74,MTC,026542351161559,404078161849593,404-20-1122-3344,"Andheri-E, Mumbai"
+916433218196,+919376311656,2026-06-04 20:16:37,287,SMS-O,026542351161559,404078161849593,404-10-3344-5566,"Connaught Place, Delhi"
+916433218196,+918634216073,2026-06-06 14:55:04,269,SMS-O,026542351161559,404078161849593,404-10-3344-5566,"Connaught Place, Delhi"
+917164752553,+918634216073,2026-06-07 15:43:42,154,MOC,884969653287101,402269166978480,404-45-2233-4455,"Koramangala, Bengaluru"
+917164752553,+918009788208,2026-06-01 02:36:04,601,MOC,884969653287101,402269166978480,404-45-2233-4455,"Koramangala, Bengaluru"
+917164752553,+919270482814,2026-06-06 06:47:29,331,MOC,884969653287101,402269166978480,404-20-1122-3344,"Andheri-E, Mumbai"
+917164752553,+919376311656,2026-06-14 10:42:33,57,MOC,884969653287101,402269166978480,404-45-2233-4455,"Koramangala, Bengaluru"
+917164752553,+918634216073,2026-06-01 18:37:11,695,MOC,884969653287101,402269166978480,404-20-1122-3344,"Andheri-E, Mumbai"
+919270482814,+919564823662,2026-06-12 01:17:43,165,MTC,834657871331509,408393010310518,404-45-2233-4455,"Koramangala, Bengaluru"
+919270482814,+918009788208,2026-06-06 21:33:25,204,MTC,834657871331509,408393010310518,404-40-5566-7788,"T Nagar, Chennai"
+919270482814,+916433218196,2026-06-08 06:12:21,130,MOC,834657871331509,408393010310518,404-40-5566-7788,"T Nagar, Chennai"
+919376311656,+918634216073,2026-06-01 01:17:47,692,MOC,317810801326773,406026064746872,404-20-1122-3344,"Andheri-E, Mumbai"
+919376311656,+917164752553,2026-06-04 17:02:29,672,SMS-O,317810801326773,406026064746872,404-40-5566-7788,"T Nagar, Chennai"
+918009788208,+919564823662,2026-06-08 07:56:15,299,SMS-O,998543534624751,400799118384251,404-10-3344-5566,"Connaught Place, Delhi"
+916841241182,+918634216073,2026-06-07 10:18:46,157,MOC,427868011280598,402620450533158,404-45-2233-4455,"Koramangala, Bengaluru"
+916841241182,+918009788208,2026-06-05 06:52:36,464,SMS-O,427868011280598,402620450533158,404-10-3344-5566,"Connaught Place, Delhi"
+916841241182,+918634216073,2026-06-07 21:23:35,569,MOC,427868011280598,402620450533158,404-40-5566-7788,"T Nagar, Chennai"
+916841241182,+918009788208,2026-06-06 07:18:35,653,SMS-O,427868011280598,402620450533158,404-40-5566-7788,"T Nagar, Chennai"
+918634216073,+917164752553,2026-06-14 07:53:26,625,MOC,850142940196556,409816934060883,404-31-4455-6677,"Salt Lake, Kolkata"
+918634216073,+919270482814,2026-06-07 04:32:38,536,MOC,850142940196556,409816934060883,404-31-4455-6677,"Salt Lake, Kolkata"
+918634216073,+916433218196,2026-06-12 14:18:48,265,SMS-O,850142940196556,409816934060883,404-10-3344-5566,"Connaught Place, Delhi"
+918634216073,+918009788208,2026-06-10 11:45:22,618,MTC,850142940196556,409816934060883,404-40-5566-7788,"T Nagar, Chennai"
+918634216073,+916841241182,2026-06-12 02:42:56,220,MOC,850142940196556,409816934060883,404-40-5566-7788,"T Nagar, Chennai"
+918634216073,+917164752553,2026-06-03 14:25:35,51,SMS-O,850142940196556,409816934060883,404-40-5566-7788,"T Nagar, Chennai"
+919564823662,+918009788208,2026-06-13 20:23:38,749,MOC,791769367632016,403287083172788,404-45-2233-4455,"Koramangala, Bengaluru"
+919564823662,+919270482814,2026-06-05 20:19:00,128,MOC,791769367632016,403287083172788,404-20-1122-3344,"Andheri-E, Mumbai"
+919376311656,+918009788208,2026-06-01 20:44:49,231,MOC,317810801326773,406026064746872,404-45-2233-4455,"Koramangala, Bengaluru"
