Calling Party Number,Called Party Number,Call Date,Duration (sec),Call Type,IMEI,IMSI,Cell ID,Tower Location
+917164752553,+919270482814,2026-06-07 12:22:25,363,MOC,884969653287101,402269166978480,404-20-1122-3344,"Andheri-E, Mumbai"
+917164752553,+918634216073,2026-06-02 16:58:47,609,SMS-O,884969653287101,402269166978480,404-10-3344-5566,"Connaught Place, Delhi"
+917164752553,+916841241182,2026-06-07 23:48:04,772,MOC,884969653287101,402269166978480,404-40-5566-7788,"T Nagar, Chennai"
+917164752553,+919270482814,2026-06-10 19:32:18,689,SMS-O,884969653287101,402269166978480,404-31-4455-6677,"Salt Lake, Kolkata"
+917164752553,+916841241182,2026-06-08 07:38:10,597,MOC,884969653287101,402269166978480,404-31-4455-6677,"Salt Lake, Kolkata"
+919270482814,+918634216073,2026-06-04 06:56:13,401,MTC,834657871331509,408393010310518,404-20-1122-3344,"Andheri-E, Mumbai"
+919270482814,+916433218196,2026-06-14 13:29:43,120,SMS-O,834657871331509,408393010310518,404-40-5566-7788,"T Nagar, Chennai"
+919270482814,+916433218196,2026-06-11 10:02:32,642,MTC,834657871331509,408393010310518,404-20-1122-3344,"Andheri-E, Mumbai"
+919270482814,+918009788208,2026-06-06 09:41:07,330,MTC,834657871331509,408393010310518,404-31-4455-6677,"Salt Lake, Kolkata"
+919270482814,+919376311656,2026-06-04 11:50:35,770,MOC,834657871331509,408393010310518,404-40-5566-7788,"T Nagar, Chennai"
+919376311656,+918009788208,2026-06-09 10:52:19,879,MOC,317810801326773,406026064746872,404-40-5566-7788,"T Nagar, Chennai"
+919376311656,+917164752553,2026-06-14 13:42:47,743,MOC,317810801326773,406026064746872,404-31-4455-6677,"Salt Lake, Kolkata"
+919376311656,+919564823662,2026-06-13 06:09:19,789,MTC,317810801326773,406026064746872,404-40-5566-7788,"T Nagar, Chennai"
+919376311656,+918634216073,2026-06-01 01:55:48,268,MOC,317810801326773,406026064746872,404-45-2233-4455,"Koramangala, Bengaluru"
+919376311656,+918009788208,2026-06-05 05:50:45,504,MOC,317810801326773,406026064746872,404-45-2233-4455,"Koramangala, Bengaluru"
+918009788208,+919564823662,2026-06-03 15:32:39,571,SMS-O,998543534624751,400799118384251,404-31-4455-6677,"Salt Lake, Kolkata"
+916841241182,+919564823662,2026-06-09 13:04:42,787,MTC,427868011280598,402620450533158,404-40-5566-7788,"T Nagar, Chennai"
+916841241182,+918009788208,2026-06-10 16:49:25,235,SMS-O,427868011280598,402620450533158,404-31-4455-6677,"Salt Lake, Kolkata"
+916841241182,+919564823662,2026-06-10 01:34:42,87,MOC,427868011280598,402620450533158,404-45-2233-4455,"Koramangala, Bengaluru"
+916841241182,+918009788208,2026-06-09 09:39:30,251,MOC,427868011280598,402620450533158,404-45-2233-4455,"Koramangala, Bengaluru"
+916841241182,+918009788208,2026-06-08 14:49:02,285,SMS-O,427868011280598,402620450533158,404-40-5566-7788,"T Nagar, Chennai"
+918634216073,+919564823662,2026-06-06 18:51:14,329,MOC,850142940196556,409816934060883,404-31-4455-6677,"Salt Lake, Kolkata"
+918634216073,+919564823662,2026-06-08 21:38:34,780,MOC,850142940196556,409816934060883,404-20-1122-3344,"Andheri-E, Mumbai"
+919564823662,+917164752553,2026-06-04 02:12:34,667,SMS-O,791769367632016,403287083172788,404-10-3344-5566,"Connaught Place, Delhi"
+919564823662,+916433218196,2026-06-03 22:44:06,532,MOC,791769367632016,403287083172788,404-40-5566-7788,"T Nagar, Chennai"
+919564823662,+916841241182,2026-06-04 04:38:17,347,MTC,791769367632016,403287083172788,404-20-1122-3344,"Andheri-E, Mumbai"
+919564823662,+918634216073,2026-06-03 02:38:41,387,SMS-O,791769367632016,403287083172788,404-10-3344-5566,"Connaught Place, Delhi"
