Calling Party Number,Called Party Number,Call Date,Duration (sec),Call Type,IMEI,IMSI,Cell ID,Tower Location
+916433218196,+917164752553,2026-06-11 00:43:52,133,MTC,026542351161559,404078161849593,404-40-5566-7788,"T Nagar, Chennai"
+916433218196,+916841241182,2026-06-02 02:06:08,796,MTC,026542351161559,404078161849593,404-45-2233-4455,"Koramangala, Bengaluru"
+916433218196,+918634216073,2026-06-02 06:28:49,697,SMS-O,026542351161559,404078161849593,404-40-5566-7788,"T Nagar, Chennai"
+916433218196,+916841241182,2026-06-02 14:11:35,596,MTC,026542351161559,404078161849593,404-40-5566-7788,"T Nagar, Chennai"
+916433218196,+919376311656,2026-06-12 21:16:38,729,SMS-O,026542351161559,404078161849593,404-31-4455-6677,"Salt Lake, Kolkata"
+916433218196,+918009788208,2026-06-02 19:07:46,506,MOC,026542351161559,404078161849593,404-31-4455-6677,"Salt Lake, Kolkata"
+916433218196,+917164752553,2026-06-10 21:13:24,525,SMS-O,026542351161559,404078161849593,404-20-1122-3344,"Andheri-E, Mumbai"
+917164752553,+916433218196,2026-06-13 16:34:28,668,MOC,884969653287101,402269166978480,404-40-5566-7788,"T Nagar, Chennai"
+917164752553,+919564823662,2026-06-12 03:52:16,541,MOC,884969653287101,402269166978480,404-31-4455-6677,"Salt Lake, Kolkata"
+917164752553,+918634216073,2026-06-02 23:42:42,860,SMS-O,884969653287101,402269166978480,404-20-1122-3344,"Andheri-E, Mumbai"
+919270482814,+919376311656,2026-06-14 06:13:33,250,MOC,834657871331509,408393010310518,404-20-1122-3344,"Andheri-E, Mumbai"
+919270482814,+918009788208,2026-06-04 11:47:22,81,MOC,834657871331509,408393010310518,404-45-2233-4455,"Koramangala, Bengaluru"
+919270482814,+919564823662,2026-06-04 14:32:25,566,MOC,834657871331509,408393010310518,404-31-4455-6677,"Salt Lake, Kolkata"
+919270482814,+918634216073,2026-06-05 23:55:42,137,MOC,834657871331509,408393010310518,404-10-3344-5566,"Connaught Place, Delhi"
+919270482814,+918634216073,2026-06-10 11:55:36,263,MOC,834657871331509,408393010310518,404-40-5566-7788,"T Nagar, Chennai"
+919376311656,+917164752553,2026-06-01 19:08:52,705,MOC,317810801326773,406026064746872,404-31-4455-6677,"Salt Lake, Kolkata"
+919376311656,+918634216073,2026-06-04 21:14:35,234,MTC,317810801326773,406026064746872,404-40-5566-7788,"T Nagar, Chennai"
+919376311656,+917164752553,2026-06-06 17:46:36,886,MOC,317810801326773,406026064746872,404-40-5566-7788,"T Nagar, Chennai"
+919376311656,+916841241182,2026-06-11 08:31:23,874,MOC,317810801326773,406026064746872,404-45-2233-4455,"Koramangala, Bengaluru"
+919376311656,+916433218196,2026-06-10 08:09:15,115,MTC,317810801326773,406026064746872,404-31-4455-6677,"Salt Lake, Kolkata"
+918009788208,+918634216073,2026-06-02 03:02:42,82,MOC,998543534624751,400799118384251,404-20-1122-3344,"Andheri-E, Mumbai"
+918009788208,+916841241182,2026-06-11 16:06:05,671,MTC,998543534624751,400799118384251,404-40-5566-7788,"T Nagar, Chennai"
+918009788208,+917164752553,2026-06-07 14:10:09,508,MTC,998543534624751,400799118384251,404-20-1122-3344,"Andheri-E, Mumbai"
+918009788208,+916841241182,2026-06-05 00:12:52,82,MOC,998543534624751,400799118384251,404-40-5566-7788,"T Nagar, Chennai"
+918009788208,+917164752553,2026-06-12 02:39:23,578,MOC,998543534624751,400799118384251,404-10-3344-5566,"Connaught Place, Delhi"
+918009788208,+919564823662,2026-06-08 07:37:57,409,SMS-O,998543534624751,400799118384251,404-10-3344-5566,"Connaught Place, Delhi"
+916841241182,+917164752553,2026-06-10 14:56:13,541,MTC,427868011280598,402620450533158,404-40-5566-7788,"T Nagar, Chennai"
+916841241182,+916433218196,2026-06-12 05:42:44,876,MOC,427868011280598,402620450533158,404-45-2233-4455,"Koramangala, Bengaluru"
+916841241182,+918009788208,2026-06-01 01:00:00,540,MOC,427868011280598,402620450533158,404-45-2233-4455,"Koramangala, Bengaluru"
+916841241182,+919564823662,2026-06-01 13:40:00,150,MTC,427868011280598,402620450533158,404-45-2233-4455,"Koramangala, Bengaluru"
+918634216073,+919270482814,2026-06-10 05:08:48,422,MOC,850142940196556,409816934060883,404-10-3344-5566,"Connaught Place, Delhi"
+918634216073,+918009788208,2026-06-13 22:13:37,843,MOC,850142940196556,409816934060883,404-40-5566-7788,"T Nagar, Chennai"
+918634216073,+919376311656,2026-06-10 07:47:22,614,MOC,850142940196556,409816934060883,404-20-1122-3344,"Andheri-E, Mumbai"
+918634216073,+917164752553,2026-06-13 12:57:29,457,MTC,850142940196556,409816934060883,404-31-4455-6677,"Salt Lake, Kolkata"
+919564823662,+917164752553,2026-06-13 15:44:50,658,MOC,791769367632016,403287083172788,404-45-2233-4455,"Koramangala, Bengaluru"
+919564823662,+918009788208,2026-06-02 22:24:07,701,MOC,791769367632016,403287083172788,404-20-1122-3344,"Andheri-E, Mumbai"
+919564823662,+917164752553,2026-06-12 07:20:37,280,MOC,791769367632016,403287083172788,404-31-4455-6677,"Salt Lake, Kolkata"
+919564823662,+916433218196,2026-06-11 10:18:06,695,MTC,791769367632016,403287083172788,404-31-4455-6677,"Salt Lake, Kolkata"
+919564823662,+917164752553,2026-06-12 17:29:03,446,MOC,791769367632016,403287083172788,404-31-4455-6677,"Salt Lake, Kolkata"
+919564823662,+918009788208,2026-06-09 01:50:58,484,SMS-O,791769367632016,403287083172788,404-10-3344-5566,"Connaught Place, Delhi"
