Subscriber ID,Private IP,Public IP,Source Port,Session Start Time,Session End Time,Uplink Bytes,Downlink Bytes,Destination IP,IMEI
+916433218196,10.4.115.9,25.116.148.253,22128,2026-06-11 06:49:57,2026-06-11 08:47:57,653935,32713081,129.132.15.244,026542351161559
+916433218196,10.160.6.78,25.116.148.253,45075,2026-06-12 09:26:39,2026-06-12 10:23:39,1682136,8445858,179.168.116.30,026542351161559
+916433218196,10.32.233.64,25.116.148.253,28509,2026-06-08 02:37:58,2026-06-08 03:34:58,1132042,1059287,197.17.5.192,026542351161559
+916433218196,10.195.63.149,25.116.148.253,13192,2026-06-07 20:52:28,2026-06-07 22:24:28,1443450,22240316,67.3.191.86,026542351161559
+916433218196,10.117.202.78,25.116.148.253,3847,2026-06-12 18:31:26,2026-06-12 18:37:26,1626899,40978798,134.8.247.43,026542351161559
+917164752553,10.244.185.145,188.136.174.29,15903,2026-06-02 10:53:15,2026-06-02 10:54:15,3635860,28912418,79.67.171.68,884969653287101
+917164752553,10.173.92.205,188.136.174.29,42041,2026-06-06 04:02:15,2026-06-06 05:47:15,3687616,46804700,125.76.23.163,884969653287101
+917164752553,10.188.66.80,188.136.174.29,56372,2026-06-11 17:46:03,2026-06-11 19:35:03,1811489,20806731,115.33.106.18,884969653287101
+917164752553,10.22.50.210,188.136.174.29,2335,2026-06-12 15:01:34,2026-06-12 15:14:34,1964818,43433005,83.198.102.122,884969653287101
+917164752553,10.5.91.205,188.136.174.29,57115,2026-06-09 17:27:52,2026-06-09 17:37:52,641235,38388781,150.233.42.79,884969653287101
+917164752553,10.207.202.55,188.136.174.29,61823,2026-06-02 02:00:58,2026-06-02 03:53:58,1513988,35203066,217.204.206.194,884969653287101
+919270482814,10.89.92.87,85.248.109.139,58129,2026-06-01 13:30:58,2026-06-01 14:58:58,3294124,35881682,214.209.25.127,834657871331509
+919270482814,10.184.43.224,85.248.109.139,20470,2026-06-13 20:54:43,2026-06-13 21:11:43,4193183,11209805,110.143.120.230,834657871331509
+919376311656,10.45.167.49,89.111.29.149,22276,2026-06-06 19:33:16,2026-06-06 20:25:16,1384270,49670192,131.34.216.156,317810801326773
+919376311656,10.19.13.53,89.111.29.149,47743,2026-06-11 02:02:04,2026-06-11 02:15:04,4285774,15349648,42.14.220.63,317810801326773
+919376311656,10.221.229.7,89.111.29.149,61157,2026-06-10 16:13:12,2026-06-10 17:32:12,3963506,29540841,186.160.214.178,317810801326773
+919376311656,10.199.54.188,89.111.29.149,40352,2026-06-04 20:36:31,2026-06-04 21:32:31,1627949,25861532,156.245.13.103,317810801326773
+919376311656,10.105.135.248,89.111.29.149,47564,2026-06-14 15:46:58,2026-06-14 17:41:58,3162571,27120486,79.193.76.19,317810801326773
+918009788208,10.164.114.45,108.145.80.113,13352,2026-06-12 09:27:59,2026-06-12 11:13:59,1119386,31235547,116.184.176.55,998543534624751
+918009788208,10.80.67.27,108.145.80.113,11401,2026-06-05 10:12:12,2026-06-05 10:23:12,1650799,24753958,123.67.45.215,998543534624751
+918009788208,10.224.59.245,108.145.80.113,11642,2026-06-03 15:03:25,2026-06-03 15:13:25,4644513,498128,134.164.119.232,998543534624751
+918009788208,10.40.233.64,108.145.80.113,65492,2026-06-08 02:18:48,2026-06-08 03:34:48,1997766,47243229,189.223.0.131,998543534624751
+918009788208,10.227.5.125,108.145.80.113,49025,2026-06-01 12:11:45,2026-06-01 12:51:45,1640511,45857426,190.187.138.112,998543534624751
+916841241182,10.12.50.39,172.79.121.222,58303,2026-06-13 06:15:13,2026-06-13 07:54:13,1010502,2451651,178.198.168.202,427868011280598
+916841241182,10.30.61.2,172.79.121.222,56791,2026-06-06 16:35:08,2026-06-06 18:12:08,2316361,16187985,123.191.26.7,427868011280598
+916841241182,10.224.45.194,55.90.211.7,51141,2026-06-13 17:25:12,2026-06-13 18:38:12,3403624,690845,117.161.242.52,427868011280598
+916841241182,10.140.238.228,55.90.211.7,14596,2026-06-10 18:13:48,2026-06-10 19:54:48,387643,32599349,52.199.239.226,427868011280598
+916841241182,10.161.209.236,55.90.211.7,38651,2026-06-03 19:13:44,2026-06-03 21:03:44,285688,20112234,216.245.55.186,427868011280598
+918634216073,10.114.244.119,94.63.153.130,58262,2026-06-05 20:28:15,2026-06-05 20:41:15,473362,4250793,23.3.100.114,850142940196556
+918634216073,10.61.201.228,124.35.169.160,63974,2026-06-08 21:32:35,2026-06-08 22:51:35,3750867,28295550,116.29.98.179,850142940196556
+918634216073,10.56.130.169,124.35.169.160,19333,2026-06-03 12:33:54,2026-06-03 12:51:54,4362421,17693169,80.128.173.73,850142940196556
+918634216073,10.77.209.6,94.63.153.130,22098,2026-06-10 21:41:29,2026-06-10 22:30:29,260125,13806182,203.63.10.215,850142940196556
+918634216073,10.121.5.138,94.63.153.130,10845,2026-06-11 08:30:28,2026-06-11 09:42:28,1214194,19608118,163.21.244.74,850142940196556
+918634216073,10.1.114.175,124.35.169.160,27978,2026-06-02 15:07:09,2026-06-02 15:57:09,2011270,27740721,190.230.171.35,850142940196556
+918634216073,10.87.155.50,94.63.153.130,35277,2026-06-09 12:55:38,2026-06-09 14:39:38,4245546,38148736,87.30.161.213,850142940196556
+918634216073,10.3.92.53,94.63.153.130,44624,2026-06-06 23:46:58,2026-06-07 00:36:58,1242038,22145585,65.33.90.160,850142940196556
+919564823662,10.218.243.206,207.226.218.213,51940,2026-06-02 09:56:59,2026-06-02 11:46:59,4090999,28516616,15.247.255.225,791769367632016
+919564823662,10.14.219.31,154.228.81.191,51261,2026-06-02 05:20:16,2026-06-02 05:44:16,423801,39959667,183.171.33.86,791769367632016
+919564823662,10.74.40.57,207.226.218.213,52351,2026-06-08 14:26:36,2026-06-08 15:26:36,4016914,17291559,16.131.62.109,791769367632016
+919564823662,10.64.191.191,207.226.218.213,12998,2026-06-13 07:09:08,2026-06-13 07:23:08,1314076,20929008,217.19.129.161,791769367632016
+919564823662,10.19.116.98,154.228.81.191,54900,2026-06-04 03:03:23,2026-06-04 03:47:23,1145436,48998052,128.240.74.166,791769367632016
