Subscriber ID,Private IP,Public IP,Source Port,Session Start Time,Session End Time,Uplink Bytes,Downlink Bytes,Destination IP,IMEI
+916433218196,10.41.131.200,25.116.148.253,61275,2026-06-07 09:04:51,2026-06-07 10:41:51,3021047,47521704,187.68.233.171,026542351161559
+916433218196,10.45.45.130,25.116.148.253,29141,2026-06-01 23:39:29,2026-06-02 01:09:29,1679970,34228110,190.142.141.49,026542351161559
+916433218196,10.172.52.241,25.116.148.253,15448,2026-06-07 16:17:10,2026-06-07 16:28:10,528784,6487169,31.240.43.181,026542351161559
+917164752553,10.111.119.212,188.136.174.29,43905,2026-06-10 04:32:25,2026-06-10 06:05:25,3351378,49728835,133.85.40.150,884969653287101
+917164752553,10.73.46.58,188.136.174.29,30642,2026-06-05 15:51:30,2026-06-05 16:24:30,2797572,13006695,87.38.116.247,884969653287101
+917164752553,10.148.134.53,188.136.174.29,3006,2026-06-13 06:16:06,2026-06-13 06:38:06,3993250,49036495,153.36.102.116,884969653287101
+917164752553,10.232.124.86,188.136.174.29,58248,2026-06-12 08:36:32,2026-06-12 10:02:32,430198,22782286,181.82.2.41,884969653287101
+919270482814,10.62.9.28,85.248.109.139,47021,2026-06-13 19:21:27,2026-06-13 21:00:27,1402380,37009423,94.9.67.146,834657871331509
+919270482814,10.154.8.80,85.248.109.139,51489,2026-06-13 07:59:19,2026-06-13 08:43:19,926856,37943059,112.33.130.83,834657871331509
+919270482814,10.237.253.194,85.248.109.139,31107,2026-06-05 21:06:31,2026-06-05 22:57:31,4011298,22473311,49.236.63.79,834657871331509
+919270482814,10.39.170.70,85.248.109.139,4202,2026-06-04 18:17:36,2026-06-04 19:50:36,1709367,39848268,70.61.54.239,834657871331509
+919376311656,10.28.215.115,89.111.29.149,32755,2026-06-11 09:41:22,2026-06-11 10:19:22,3182152,39105860,178.129.100.242,317810801326773
+919376311656,10.196.252.100,89.111.29.149,62772,2026-06-05 05:34:24,2026-06-05 06:05:24,1493162,12551192,220.38.37.196,317810801326773
+919376311656,10.211.28.95,89.111.29.149,7546,2026-06-05 00:29:07,2026-06-05 01:22:07,4360983,8345735,183.183.58.245,317810801326773
+919376311656,10.96.204.168,89.111.29.149,22535,2026-06-09 12:07:33,2026-06-09 13:08:33,2091575,19291858,84.154.141.223,317810801326773
+919376311656,10.79.55.8,89.111.29.149,47491,2026-06-13 22:36:15,2026-06-13 22:51:15,4811410,49269043,91.108.46.119,317810801326773
+919376311656,10.150.49.79,89.111.29.149,46047,2026-06-04 18:37:54,2026-06-04 19:03:54,3275166,44438450,200.24.85.208,317810801326773
+918009788208,10.112.161.145,108.145.80.113,25176,2026-06-04 15:43:57,2026-06-04 16:30:57,4945805,4256836,169.116.176.32,998543534624751
+918009788208,10.59.83.85,108.145.80.113,32842,2026-06-14 09:42:00,2026-06-14 10:38:00,4943338,1991746,195.70.128.14,998543534624751
+918009788208,10.189.184.103,108.145.80.113,9618,2026-06-05 03:45:32,2026-06-05 04:54:32,2502344,20683984,88.60.125.17,998543534624751
+918009788208,10.168.77.204,108.145.80.113,4924,2026-06-10 15:17:47,2026-06-10 15:44:47,3284315,32256577,105.153.239.198,998543534624751
+918009788208,10.49.0.118,108.145.80.113,27958,2026-06-05 17:15:56,2026-06-05 18:09:56,3077330,21214515,50.0.179.180,998543534624751
+918009788208,10.211.185.28,108.145.80.113,18112,2026-06-03 20:35:30,2026-06-03 21:07:30,1225777,31053457,14.8.175.45,998543534624751
+916841241182,10.116.221.87,172.79.121.222,1912,2026-06-08 20:56:43,2026-06-08 21:39:43,4609109,49383033,72.180.170.200,427868011280598
+916841241182,10.77.180.28,172.79.121.222,34699,2026-06-12 16:52:31,2026-06-12 16:57:31,486525,15996443,205.36.168.51,427868011280598
+918634216073,10.40.213.159,124.35.169.160,48588,2026-06-07 01:23:27,2026-06-07 02:24:27,1768177,14373427,126.60.113.167,850142940196556
+918634216073,10.21.249.229,94.63.153.130,50123,2026-06-07 11:03:08,2026-06-07 12:36:08,4872380,29692474,158.250.132.39,850142940196556
+919564823662,10.242.86.92,207.226.218.213,13728,2026-06-03 00:52:48,2026-06-03 00:54:48,4710311,16110840,205.12.239.222,791769367632016
+919564823662,10.179.168.146,207.226.218.213,18281,2026-06-07 21:50:35,2026-06-07 23:37:35,4811061,8790585,48.240.203.175,791769367632016
+919564823662,10.67.55.59,154.228.81.191,50337,2026-06-14 14:37:14,2026-06-14 14:54:14,3564458,4094657,92.26.167.248,791769367632016
+919564823662,10.53.76.111,154.228.81.191,40321,2026-06-07 16:53:37,2026-06-07 17:09:37,1634962,33996140,27.140.79.97,791769367632016
+918009788208,10.18.204.135,108.145.80.113,9791,2026-06-01 20:41:49,2026-06-01 20:59:49,4655372,14469570,18.245.231.104,998543534624751
