Subscriber ID,Private IP,Public IP,Source Port,Session Start Time,Session End Time,Uplink Bytes,Downlink Bytes,Destination IP,IMEI
+916433218196,10.59.224.57,25.116.148.253,56631,2026-06-11 00:47:21,2026-06-11 02:20:21,252707,32077938,165.78.133.103,026542351161559
+916433218196,10.49.213.198,25.116.148.253,42357,2026-06-01 20:57:32,2026-06-01 21:10:32,1974694,3283070,193.117.182.135,026542351161559
+916433218196,10.254.239.81,25.116.148.253,24562,2026-06-06 22:36:17,2026-06-06 23:07:17,1658180,20941690,156.28.91.125,026542351161559
+917164752553,10.208.124.44,188.136.174.29,59871,2026-06-05 19:04:45,2026-06-05 20:15:45,762875,13433145,203.232.157.146,884969653287101
+917164752553,10.12.78.250,188.136.174.29,19560,2026-06-14 03:37:34,2026-06-14 05:13:34,1889393,25775115,111.238.152.89,884969653287101
+917164752553,10.154.190.9,188.136.174.29,10382,2026-06-06 01:32:53,2026-06-06 02:50:53,4464307,27030118,202.45.29.177,884969653287101
+919270482814,10.175.172.12,85.248.109.139,4538,2026-06-05 01:43:57,2026-06-05 03:18:57,3607771,1812381,127.119.150.160,834657871331509
+919270482814,10.40.238.124,85.248.109.139,55352,2026-06-12 08:32:51,2026-06-12 09:17:51,4967508,25922684,39.190.107.163,834657871331509
+919270482814,10.252.210.39,85.248.109.139,60310,2026-06-08 20:57:38,2026-06-08 21:21:38,646815,19561952,126.13.122.120,834657871331509
+919270482814,10.26.85.111,85.248.109.139,53923,2026-06-05 02:09:00,2026-06-05 03:20:00,4927476,33537191,55.163.221.140,834657871331509
+919270482814,10.104.51.46,85.248.109.139,10712,2026-06-10 09:44:24,2026-06-10 11:22:24,1621710,17328835,179.37.230.247,834657871331509
+919270482814,10.91.157.21,85.248.109.139,7837,2026-06-03 08:31:38,2026-06-03 08:44:38,3599592,10338655,49.178.237.180,834657871331509
+919270482814,10.22.100.239,85.248.109.139,18358,2026-06-12 15:20:56,2026-06-12 17:08:56,3123150,6230116,112.244.125.145,834657871331509
+919376311656,10.105.202.227,89.111.29.149,58020,2026-06-11 19:22:10,2026-06-11 19:37:10,73358,27444287,141.40.174.85,317810801326773
+919376311656,10.167.253.222,89.111.29.149,48709,2026-06-05 16:59:16,2026-06-05 18:58:16,621437,31142511,183.144.65.249,317810801326773
+918009788208,10.31.37.36,108.145.80.113,61878,2026-06-08 01:05:07,2026-06-08 02:23:07,1614878,8829304,119.0.13.48,998543534624751
+918009788208,10.114.184.152,108.145.80.113,54686,2026-06-05 10:22:19,2026-06-05 10:41:19,4583977,21087185,143.113.255.9,998543534624751
+916841241182,10.13.56.140,172.79.121.222,22901,2026-06-09 07:48:32,2026-06-09 09:18:32,2082757,26118726,222.209.19.92,427868011280598
+916841241182,10.99.139.196,55.90.211.7,43302,2026-06-10 01:01:38,2026-06-10 02:54:38,4389987,8133088,94.248.19.153,427868011280598
+918634216073,10.17.107.80,124.35.169.160,64238,2026-06-04 16:37:07,2026-06-04 17:38:07,618034,22488973,85.78.75.238,850142940196556
+918634216073,10.140.151.162,94.63.153.130,16173,2026-06-04 07:08:18,2026-06-04 08:28:18,3765540,36250389,103.34.30.239,850142940196556
+918634216073,10.160.243.224,124.35.169.160,47895,2026-06-11 05:28:04,2026-06-11 05:50:04,57389,29382096,122.125.174.140,850142940196556
+919564823662,10.224.108.22,154.228.81.191,44404,2026-06-01 13:38:39,2026-06-01 14:09:39,1557393,34587773,193.129.165.59,791769367632016
+919564823662,10.83.111.143,154.228.81.191,63399,2026-06-06 03:35:57,2026-06-06 04:52:57,3158360,26800650,126.240.199.204,791769367632016
