Subscriber ID,Private IP,Public IP,Source Port,Session Start Time,Session End Time,Uplink Bytes,Downlink Bytes,Destination IP,IMEI
+916433218196,10.91.190.93,25.116.148.253,58729,2026-06-13 17:42:44,2026-06-13 18:55:44,862072,41217416,199.59.89.152,026542351161559
+916433218196,10.66.192.157,25.116.148.253,2772,2026-06-03 23:09:08,2026-06-04 00:48:08,2145688,34331465,42.175.160.250,026542351161559
+916433218196,10.85.112.155,25.116.148.253,61571,2026-06-05 03:33:35,2026-06-05 04:08:35,2618802,23939835,68.23.59.110,026542351161559
+916433218196,10.53.241.248,25.116.148.253,37581,2026-06-08 05:37:46,2026-06-08 06:41:46,413795,13036700,113.212.60.205,026542351161559
+917164752553,10.15.225.181,188.136.174.29,23479,2026-06-14 00:16:20,2026-06-14 02:03:20,1257337,42986943,189.54.145.204,884969653287101
+917164752553,10.185.118.232,188.136.174.29,65134,2026-06-01 09:25:53,2026-06-01 11:11:53,4438000,10685605,203.49.194.66,884969653287101
+919270482814,10.219.243.39,85.248.109.139,50048,2026-06-04 01:09:40,2026-06-04 03:06:40,4009335,10557228,23.73.114.39,834657871331509
+919270482814,10.16.90.127,85.248.109.139,63796,2026-06-05 03:12:05,2026-06-05 03:27:05,4617962,31084869,209.212.63.61,834657871331509
+919376311656,10.204.139.9,89.111.29.149,1337,2026-06-02 09:42:25,2026-06-02 10:11:25,1601673,29327169,95.33.199.89,317810801326773
+919376311656,10.82.76.246,89.111.29.149,38609,2026-06-11 22:33:57,2026-06-11 23:10:57,3400555,39668433,107.34.74.186,317810801326773
+918009788208,10.143.169.210,108.145.80.113,23013,2026-06-08 20:57:53,2026-06-08 22:19:53,2098441,17799115,149.0.106.204,998543534624751
+918009788208,10.188.68.211,108.145.80.113,52310,2026-06-14 06:51:09,2026-06-14 07:34:09,2457145,34953353,73.86.35.185,998543534624751
+916841241182,10.143.9.199,172.79.121.222,35403,2026-06-12 19:40:57,2026-06-12 21:38:57,3055285,23098615,166.84.79.99,427868011280598
+916841241182,10.62.81.67,172.79.121.222,2500,2026-06-12 23:52:34,2026-06-13 01:51:34,3485304,18767878,205.161.57.178,427868011280598
+916841241182,10.38.97.121,55.90.211.7,55225,2026-06-02 12:14:37,2026-06-02 12:21:37,535595,39091004,172.157.142.168,427868011280598
+916841241182,10.246.77.220,55.90.211.7,61244,2026-06-06 02:53:35,2026-06-06 04:46:35,2570128,49735217,70.184.108.174,427868011280598
+916841241182,10.127.115.128,55.90.211.7,33044,2026-06-09 13:30:51,2026-06-09 14:55:51,1820919,29463757,82.183.219.205,427868011280598
+916841241182,10.156.165.245,172.79.121.222,43309,2026-06-08 12:08:30,2026-06-08 13:20:30,2230634,17485220,92.170.3.57,427868011280598
+918634216073,10.17.202.225,124.35.169.160,59771,2026-06-03 18:38:45,2026-06-03 19:33:45,986382,36150436,145.8.93.77,850142940196556
+918634216073,10.184.19.27,94.63.153.130,11832,2026-06-02 23:54:46,2026-06-03 01:23:46,4915333,6093856,144.222.153.241,850142940196556
+919564823662,10.12.156.103,207.226.218.213,58911,2026-06-12 02:04:28,2026-06-12 03:32:28,3966616,21343668,128.234.150.80,791769367632016
+919564823662,10.116.179.227,207.226.218.213,61746,2026-06-08 12:08:25,2026-06-08 12:28:25,1396984,19012064,126.147.210.166,791769367632016
+919564823662,10.8.220.17,207.226.218.213,33566,2026-06-06 03:17:20,2026-06-06 04:26:20,2166879,34705500,119.211.224.96,791769367632016
+919564823662,10.246.186.61,207.226.218.213,23928,2026-06-12 18:22:44,2026-06-12 18:40:44,2454216,11186348,189.209.128.215,791769367632016
